"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"1313","0","0","-9.43661","-9.72379","0.2","27.4466","2.11133","0.171265","-9.45957","-9.81316","27.4436","0.51709","0.562988","0.64502","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[1]",,"1311","0","0","-9.42744","-9.71934","0.2","27.424","2.10938","0.174072","-9.45043","-9.80865","27.421","-0.252686","0.412354","0.875","-1","-0.715332","-0.688477","0.118408","-0.956055","131191"
"[2]",,"1325","0","0","-9.43925","-9.68378","0.2","27.4515","2.11719","0.173828","-9.46239","-9.77367","27.4489","-0.244019","0.656738","0.713379","-1","-0.958008","-0.0409851","-0.283936","-0.726074","131191"
"[3]",,"1325","1","0","-9.43925","-9.68378","0.2","27.4515","2.11719","0.173828","-9.46239","-9.77367","27.4489","-0.244019","0.656738","0.713379","-1","-0.958008","-0.0409851","-0.283936","-0.726074","131191"
"[4]",,"4003","1","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[5]",,"1313","1","0","-9.43661","-9.72379","0.2","27.4466","2.11133","0.171265","-9.45957","-9.81316","27.4436","0.51709","0.562988","0.64502","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[6]",,"4003","2","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[7]",,"4899","2","0","-9.41775","-9.74641","0.2","27.4842","2.11133","0.165649","-9.44069","-9.8358","27.4812","-0.411377","0.890137","-0.197266","-1","-0.915039","-0.394287","0.0858154","-0.885254","131191"
"[8]",,"1313","2","0","-9.43661","-9.72379","0.2","27.4466","2.11133","0.171265","-9.45957","-9.81316","27.4436","0.51709","0.562988","0.64502","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[9]",,"4003","3","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[10]",,"4898","3","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[11]",,"4899","3","0","-9.41775","-9.74641","0.2","27.4842","2.11133","0.165649","-9.44069","-9.8358","27.4812","-0.411377","0.890137","-0.197266","-1","-0.915039","-0.394287","0.0858154","-0.885254","131191"
"[12]",,"1309","4","0","-9.43661","-9.72379","0.2","27.4466","2.11328","0.1604","-9.45957","-9.81316","27.4436","-0.646484","-0.377686","-0.662109","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[13]",,"4899","4","0","-9.41775","-9.74641","0.2","27.4842","2.11133","0.165649","-9.44069","-9.8358","27.4812","-0.411377","0.890137","-0.197266","-1","-0.915039","-0.394287","0.0858154","-0.885254","131191"
"[14]",,"4898","4","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[15]",,"1310","5","0","-9.46351","-9.8027","0.2","27.4154","2.11914","0.157593","-9.48652","-9.89261","27.4126","-0.457275","0.0688477","-0.88623","-1","-0.459717","-0.871094","0.172241","-0.906738","131191"
"[16]",,"1309","5","0","-9.43661","-9.72379","0.2","27.4466","2.11328","0.1604","-9.45957","-9.81316","27.4436","-0.646484","-0.377686","-0.662109","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[17]",,"4898","5","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[18]",,"1309","6","0","-9.43661","-9.72379","0.2","27.4466","2.11328","0.1604","-9.45957","-9.81316","27.4436","-0.646484","-0.377686","-0.662109","-1","-0.578613","-0.326416","0.74707","-0.491699","131191"
"[19]",,"1310","6","0","-9.46351","-9.8027","0.2","27.4154","2.11914","0.157593","-9.48652","-9.89261","27.4126","-0.457275","0.0688477","-0.88623","-1","-0.459717","-0.871094","0.172241","-0.906738","131191"
"[20]",,"1326","6","0","-9.42744","-9.71934","0.2","27.424","2.11328","0.157471","-9.45043","-9.80865","27.421","-0.314941","0.164062","-0.93457","-1","-0.715332","-0.688477","0.118408","-0.956055","131191"
"[21]",,"4003","7","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[22]",,"1325","7","0","-9.43925","-9.68378","0.2","27.4515","2.11719","0.173828","-9.46239","-9.77367","27.4489","-0.244019","0.656738","0.713379","-1","-0.958008","-0.0409851","-0.283936","-0.726074","131191"
"[23]",,"4005","7","0","-9.49144","-9.69385","0.2","27.459","2.12305","0.173096","-9.51466","-9.78443","27.4566","-0.161255","0.963379","0.214111","-1","-0.587891","0.0869141","-0.804199","-0.475342","131191"
"[24]",,"4005","8","0","-9.49144","-9.69385","0.2","27.459","2.12305","0.173096","-9.51466","-9.78443","27.4566","-0.161255","0.963379","0.214111","-1","-0.587891","0.0869141","-0.804199","-0.475342","131191"
"[25]",,"3983","8","0","-9.47643","-9.75692","0.2","27.483","2.11914","0.166504","-9.49946","-9.84704","27.4802","-0.356934","0.925293","-0.127197","-1","-0.589844","-0.322754","-0.740234","-0.762207","131191"
"[26]",,"4003","8","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[27]",,"4898","9","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[28]",,"4003","9","0","-9.44313","-9.71087","0.2","27.4722","2.11523","0.170288","-9.46622","-9.80082","27.4695","0.190674","0.807617","0.557617","-1","-0.943359","0.308838","-0.120483","-0.43457","131191"
"[29]",,"3983","9","0","-9.47643","-9.75692","0.2","27.483","2.11914","0.166504","-9.49946","-9.84704","27.4802","-0.356934","0.925293","-0.127197","-1","-0.589844","-0.322754","-0.740234","-0.762207","131191"
"[30]",,"3983","10","0","-9.47643","-9.75692","0.2","27.483","2.11914","0.166504","-9.49946","-9.84704","27.4802","-0.356934","0.925293","-0.127197","-1","-0.589844","-0.322754","-0.740234","-0.762207","131191"
"[31]",,"3424","10","0","-9.49566","-9.80382","0.2","27.4264","2.12109","0.159546","-9.51863","-9.89385","27.4236","-0.685547","0.644531","-0.338379","-1","-0.625488","-0.757812","-0.185669","-0.998047","131191"
"[32]",,"4898","10","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[33]",,"1310","11","0","-9.46351","-9.8027","0.2","27.4154","2.11914","0.157593","-9.48652","-9.89261","27.4126","-0.457275","0.0688477","-0.88623","-1","-0.459717","-0.871094","0.172241","-0.906738","131191"
"[34]",,"4898","11","0","-9.45694","-9.76466","0.2","27.4621","2.11719","0.163452","-9.47982","-9.85413","27.4591","-0.57666","0.32373","-0.75","-1","-0.372314","-0.921387","-0.113342","-0.932617","131191"
"[35]",,"3424","11","0","-9.49566","-9.80382","0.2","27.4264","2.12109","0.159546","-9.51863","-9.89385","27.4236","-0.685547","0.644531","-0.338379","-1","-0.625488","-0.757812","-0.185669","-0.998047","131191"
"[36]",,"3983","12","0","-9.47643","-9.75692","0.2","27.483","2.11914","0.166504","-9.49946","-9.84704","27.4802","-0.356934","0.925293","-0.127197","-1","-0.589844","-0.322754","-0.740234","-0.762207","131191"
"[37]",,"4005","12","0","-9.49144","-9.69385","0.2","27.459","2.12305","0.173096","-9.51466","-9.78443","27.4566","-0.161255","0.963379","0.214111","-1","-0.587891","0.0869141","-0.804199","-0.475342","131191"
