Name	Type	Location	Value
 %9	integer	%9	5921 (5921)
 %18[0]	float	%18[0]	0.509765625 (1057128448)
 %18[1]	float	%18[1]	0.372558594 (1052688384)
 %18[2]	float	%18[2]	0.0705566406 (1032880128)
 %18[3]	float	%18[3]	0.0352783203 (1024491520)
 %19[0]	float	%19[0]	0.00784301758 (1006665728)
 %19[1]	float	%19[1]	0.00000000 (0)
 %19[2]	float	%19[2]	0.00000000 (0)
 %19[3]	float	%19[3]	0.00000000 (0)
 %20[0]	integer	%20[0]	82 (82)
 %20[1]	integer	%20[1]	81 (81)
 %20[2]	integer	%20[2]	85 (85)
 %20[3]	integer	%20[3]	77 (77)
 %21[0]	integer	%21[0]	80 (80)
 %21[1]	integer	%21[1]	0 (0)
 %21[2]	integer	%21[2]	0 (0)
 %21[3]	integer	%21[3]	0 (0)
 %35	integer	%35	300 (300)
 %36	integer	%36	300 (300)
 %39	integer	%39	13130 (13130)
 %40	integer	%40	13130 (13130)
 %41	integer	%41	19051 (19051)
 %44	integer	%44	6804 (6804)
 %45	integer	%45	6804 (6804)
 %46	integer	%46	6804 (6804)
 %50	integer	%50	1497979519 (1497979519)
 %51	integer	%51	-1511445029 (2783522267)
 %53	float	%53	2.11718750 (1074233344)
 %54	float	%54	0.875488281 (1063264256)
 %55	float	%55	0.913574219 (1063903232)
 %56	float	%56	0.121704102 (1039745024)
 %58	integer	%58	2143807951 (2143807951)
 %60	integer	%60	89211986 (89211986)
 %61	integer	%61	81997 (81997)
 %63	integer	%63	152199042 (152199042)
 %64	integer	%64	2 (2)
 %66	integer	%66	-1 (4294967295)
 %69	integer	%69	119 (119)
 %70	integer	%70	119 (119)
 %73	float	%73	-7.97523975 (3237950762)
 %74	float	%74	1.15353990 (1066641202)
 %75	float	%75	-2.75530005 (3224393430)
 %76	float	%76	-1.70141183e+38 (4278190080)
 %77	float	%77	-7.97523975 (3237950762)
 %78	float	%78	1.15353990 (1066641202)
 %79	float	%79	-2.75530005 (3224393430)
 %80	float	%80	-1.70141183e+38 (4278190080)
 %83	float	%83	15.9504795 (1098855722)
 %84	float	%84	0.857070208 (1062955252)
 %85	float	%85	6.37003994 (1087100766)
 %86	float	%86	2.41205505e-41 (17213)
 %87	float	%87	15.9504795 (1098855722)
 %88	float	%88	0.857070208 (1062955252)
 %89	float	%89	6.37003994 (1087100766)
 %90	float	%90	2.41205505e-41 (17213)
 %91	integer	%91	23167 (23167)
 %92	float	%92	23167.0000 (1186266624)
 %93	float	%93	0.707022309 (1060437866)
 %94	integer	%94	22857 (22857)
 %95	float	%95	22857.0000 (1186107904)
 %96	float	%96	0.697561562 (1060279141)
 %97	integer	%97	11739 (11739)
 %98	float	%98	11739.0000 (1178037248)
 %99	float	%99	0.358256787 (1052208495)
 %100	float	%100	11.2773447 (1093955585)
 %101	float	%101	0.597859204 (1058606413)
 %102	float	%102	2.28210998 (1074925079)
 %103	float	%103	3.30210495 (1079203248)
 %104	float	%104	1.75139904 (1071656408)
 %105	float	%105	-0.473190069 (3203548664)
 %108	integer	%108	0 (0)
 %109	integer	%109	0 (0)
 %110	integer	%110	0 (0)
 %111	integer	%111	1 (1)
 %115	integer	%115	0 (0)
 %116	integer	%116	0 (0)
 %119	integer	%119	0 (0)
 %120	integer	%120	0 (0)
 %121	integer	%121	1 (1)
 %152	float	%152	3.30210495 (1079203248)
 %153	float	%153	1.75139904 (1071656408)
 %154	float	%154	-0.473190069 (3203548664)
 %157	integer	%157	2687054 (2687054)
 %158	integer	%158	2687054 (2687054)
 %159	integer	%159	41 (41)
 %160	integer	%160	78 (78)
 %161	integer	%161	1 (1)
 %162	integer	%162	41 (41)
 %163	integer	%163	41 (41)
 %167	float	%167	0.172910511 (1043402612)
 %168	float	%168	0.00000000 (0)
 %169	float	%169	0.984937489 (1065100509)
 %171	float	%171	-0.00000000 (2147483648)
 %172	float	%172	1.00000000 (1065353216)
 %173	float	%173	0.00000000 (0)
 %175	float	%175	-0.984937489 (3212584157)
 %176	float	%176	-0.00000000 (2147483648)
 %177	float	%177	0.172910511 (1043402612)
 %179	float	%179	-13.4835205 (3243752576)
 %180	float	%180	-9.91412354 (3240009792)
 %181	float	%181	-24.3421021 (3250764960)
 %183	float	%183	0.172910511 (1043402612)
 %184	float	%184	0.00000000 (0)
 %185	float	%185	0.984937489 (1065100509)
 %187	float	%187	-0.00000000 (2147483648)
 %188	float	%188	1.00000000 (1065353216)
 %189	float	%189	0.00000000 (0)
 %191	float	%191	-0.984937489 (3212584157)
 %192	float	%192	-0.00000000 (2147483648)
 %193	float	%193	0.172910511 (1043402612)
 %195	float	%195	-13.4729309 (3243741472)
 %196	float	%196	-9.84912109 (3239941632)
 %197	float	%197	-24.3450623 (3250766512)
 %200	integer	%200	0 (0)
 %201	integer	%201	0 (0)
 %202	integer	%202	0 (0)
 %203	integer	%203	42473 (42473)
 %204	integer	%204	42473 (42473)
 %205	integer	%205	1 (1)
 %206	float	%206	-1.00000000 (3212836864)
 %207	float	%207	-23063.0000 (3333697024)
 %208	float	%208	-0.703848362 (3207868264)
 %209	float	%209	0.703848362 (1060384616)
 %210	float	%210	1.40769672 (1068773224)
 %211	float	%211	0.407696724 (1053867424)
 %212	integer	%212	463 (463)
 %213	float	%213	463.000000 (1139245056)
 %214	float	%214	0.905180812 (1063762414)
 %215	float	%215	-0.0948191881 (3183620240)
 %216	float	%216	0.166216612 (1042953392)
 %217	float	%217	0.00899067800 (1007898019)
 %218	float	%218	0.991009295 (1065202377)
 %219	float	%219	0.824792683 (1062413725)
 %220	float	%220	0.824792683 (1062413725)
 %221	float	%221	0.908180952 (1063812748)
 %222	float	%222	-0.908180952 (3211296396)
 %223	float	%223	0.407714844 (1053868032)
 %224	float	%224	-0.0948486328 (3183624192)
 %225	float	%225	-0.908203125 (3211296768)
 %226	integer	%226	1 (1)
 %227	integer	%227	1 (1)
 %228	integer	%228	2093562 (2093562)
 %229	integer	%229	506 (506)
 %230	float	%230	506.000000 (1140654080)
 %231	float	%231	0.989247322 (1065172816)
 %232	float	%232	-0.0107526779 (3157273600)
 %233	integer	%233	2044 (2044)
 %234	integer	%234	1020 (1020)
 %235	float	%235	1020.00000 (1149173760)
 %236	float	%236	1.99413490 (1073692624)
 %237	float	%237	0.994134903 (1065254816)
 %238	float	%238	0.000115620081 (955414799)
 %239	float	%239	0.999884367 (1065351276)
 %240	float	%240	0.988304198 (1065156993)
 %241	float	%241	0.0115801692 (1010678464)
 %242	float	%242	0.0115801692 (1010678464)
 %243	float	%243	0.107611194 (1037853506)
 %244	integer	%244	1 (1)
 %245	integer	%245	1 (1)
 %246	float	%246	-1.00000000 (3212836864)
 %247	float	%247	-0.107611194 (3185337154)
 %248	float	%248	-0.0107498169 (3157270528)
 %249	float	%249	0.994140625 (1065254912)
 %250	float	%250	-0.107604980 (3185336320)
 %251	integer	%251	0 (0)
 %252	integer	%252	0 (0)
 %253	float	%253	1.00000000 (1065353216)
 %254	float	%254	2.11718750 (1074233344)
 %255	float	%255	0.875488281 (1063264256)
 %258	float	%258	15.9504795 (1098855722)
 %259	float	%259	0.857070208 (1062955252)
 %260	float	%260	6.37003994 (1087100766)
 %261	float	%261	2.41205505e-41 (17213)
 %262	float	%262	15.9504795 (1098855722)
 %263	float	%263	0.857070208 (1062955252)
 %264	float	%264	6.37003994 (1087100766)
 %265	float	%265	2.41205505e-41 (17213)
 %268	integer	%268	24 (24)
 %269	integer	%269	24 (24)
 %272	integer	%272	11266 (11266)
 %273	integer	%273	11266 (11266)
 %276	integer	%276	2031647 (2031647)
 %277	integer	%277	2031647 (2031647)
 %280	integer	%280	2026 (2026)
 %281	integer	%281	2026 (2026)
 %284	integer	%284	1114258 (1114258)
 %285	integer	%285	1114258 (1114258)
 %286	integer	%286	128 (128)
 %287	integer	%287	0 (0)
 %288	integer	%288	65535 (65535)
 %290	integer	%290	15 (15)
 %291	float	%291	15.0000000 (1097859072)
 %292	float	%292	1.00000000 (1065353216)
 %298	float	%298	1.00000000 (1065353216)
 %301	float	%301	0.00000000 (0)
 %302	float	%302	0.00000000 (0)
 %303	float	%303	1.00000000 (1065353216)
 %304	float	%304	1.00000000 (1065353216)
 %305	integer	%305	255 (255)
 %306	integer	%306	63 (63)
 %307	float	%307	63.0000000 (1115422720)
 %308	float	%308	1.00000000 (1065353216)
 %309	integer	%309	17490 (17490)
 %310	integer	%310	82 (82)
 %311	integer	%311	87121 (87121)
 %312	integer	%312	21585 (21585)
 %313	integer	%313	81 (81)
 %314	integer	%314	85 (85)
 %315	integer	%315	85 (85)
 %316	integer	%316	85 (85)
 %317	integer	%317	16461 (16461)
 %318	integer	%318	77 (77)
 %319	integer	%319	80 (80)
 %320	integer	%320	80 (80)
 %321	integer	%321	80 (80)
 %322	integer	%322	0 (0)
 %323	integer	%323	0 (0)
 %324	integer	%324	0 (0)
 %325	integer	%325	0 (0)
 %332	integer	%332	0 (0)
 %333	integer	%333	0 (0)
 %334	integer	%334	130 (130)
 %335	float	%335	130.000000 (1124204544)
 %336	float	%336	0.509765625 (1057128448)
 %337	integer	%337	594527 (594527)
 %338	integer	%338	95 (95)
 %339	float	%339	95.0000000 (1119748096)
 %340	float	%340	0.372558594 (1052688384)
 %341	integer	%341	2322 (2322)
 %342	integer	%342	18 (18)
 %343	float	%343	18.0000000 (1099956224)
 %344	float	%344	0.0705566406 (1032880128)
 %345	integer	%345	9 (9)
 %346	float	%346	9.00000000 (1091567616)
 %347	float	%347	0.0352783203 (1024491520)
 %348	integer	%348	2 (2)
 %349	float	%349	2.00000000 (1073741824)
 %350	float	%350	0.00784301758 (1006665728)
 %351	integer	%351	0 (0)
 %352	integer	%352	0 (0)
 %353	float	%353	0.00000000 (0)
 %354	float	%354	0.00000000 (0)
 %355	integer	%355	0 (0)
 %356	integer	%356	0 (0)
 %357	float	%357	0.00000000 (0)
 %358	float	%358	0.00000000 (0)
 %359	integer	%359	0 (0)
 %360	float	%360	0.00000000 (0)
 %361	float	%361	0.00000000 (0)
 %364	integer	%364	24 (24)
 %365	integer	%365	24 (24)
 %368	integer	%368	11266 (11266)
 %369	integer	%369	11266 (11266)
 %372	integer	%372	17957138 (17957138)
 %373	integer	%373	17957138 (17957138)
 %374	integer	%374	274 (274)
 %377	integer	%377	2031647 (2031647)
 %378	integer	%378	2031647 (2031647)
 %381	integer	%381	589834 (589834)
 %382	integer	%382	589834 (589834)
 %383	integer	%383	31 (31)
 %384	integer	%384	9 (9)
 %387	integer	%387	6 (6)
 %388	integer	%388	6 (6)
 %390	integer	%390	9 (9)
 %393	integer	%393	2716 (2716)
 %394	integer	%394	2716 (2716)
 %397	integer	%397	-2147483648 (2147483648)
 %398	integer	%398	-2147483648 (2147483648)
 %401	integer	%401	2026 (2026)
 %402	integer	%402	2026 (2026)
 %403	integer	%403	0 (0)
 %404	integer	%404	0 (0)
 %405	integer	%405	1 (1)
 %406	integer	%406	1 (1)
 %407	integer	%407	1 (1)
 %408	integer	%408	6 (6)
 %413	float	%413	0.509765625 (1057128448)
 %414	float	%414	0.372558594 (1052688384)
 %415	float	%415	0.0705566406 (1032880128)
 %416	float	%416	0.0352783203 (1024491520)
 %417	float	%417	0.00784301758 (1006665728)
 %418	float	%418	0.00000000 (0)
 %419	float	%419	0.00000000 (0)
 %420	float	%420	0.00000000 (0)
 %421	integer	%421	82 (82)
 %422	integer	%422	81 (81)
 %423	integer	%423	85 (85)
 %424	integer	%424	77 (77)
 %425	integer	%425	80 (80)
 %426	integer	%426	0 (0)
 %427	integer	%427	0 (0)
 %428	integer	%428	0 (0)
 %429	integer	%429	4 (4)
 %430	integer	%430	1 (1)
 %432	integer	%432	24 (24)
 %434	integer	%434	31 (31)
 %436	integer	%436	9 (9)
 %440	float	%440	0.988159180 (1065154560)
 %441	float	%441	0.344779313 (1051756266)
 %442	float	%442	1.68006623 (1071058025)
 %443	float	%443	0.517839134 (1057263899)
 %444	float	%444	-0.372898519 (3200183438)
 %445	float	%445	-1.73627758 (3219013208)
 %446	float	%446	0.425040334 (1054449379)
 %447	float	%447	-0.704451561 (3207878384)
 %448	float	%448	2.85447073 (1077325734)
 %449	float	%449	-0.629327714 (3206618015)
 %450	float	%450	-0.333534658 (3198862606)
 %451	float	%451	1.63612974 (1070689459)
 %452	float	%452	2.71125841 (1076725058)
 %453	float	%453	0.00000000 (0)
 %454	float	%454	0.00000000 (0)
 %455	integer	%455	2 (2)
 %456	integer	%456	2 (2)
 %457	integer	%457	1 (1)
 %459	integer	%459	24 (24)
 %461	integer	%461	31 (31)
 %463	integer	%463	9 (9)
 %466	float	%466	0.0352783203 (1024491520)
 %467	integer	%467	77 (77)
 %468	float	%468	0.952880859 (1064562688)
 %469	integer	%469	3 (3)
 %470	float	%470	0.320858359 (1050953612)
 %471	float	%471	1.63194263 (1070654335)
 %472	float	%472	0.472120821 (1056029138)
 %473	float	%473	-0.353442639 (3199530607)
 %474	float	%474	-1.66995919 (3218456889)
 %475	float	%475	0.405653983 (1053798881)
 %476	float	%476	-0.718744755 (3208118184)
 %477	float	%477	2.72036862 (1076763269)
 %478	float	%478	-0.626514673 (3206570820)
 %479	float	%479	-0.285716832 (3197258106)
 %480	float	%480	1.58432436 (1070254884)
 %481	float	%481	2.62626410 (1076368566)
 %482	float	%482	0.00000000 (0)
 %483	float	%483	0.00000000 (0)
 %484	integer	%484	77 (77)
 %485	integer	%485	11343 (11343)
 %488	integer	%488	77 (77)
 %489	integer	%489	2103 (2103)
 %492	integer	%492	77 (77)
 %493	integer	%493	2793 (2793)
 %496	float	%496	0.678063691 (1059952021)
 %497	float	%497	-1.87986147 (3220217677)
 %498	float	%498	-0.0797385201 (3181596147)
 %499	float	%499	0.00000000 (0)
 %501	float	%501	1.36411369 (1068407623)
 %502	float	%502	0.549525559 (1057795509)
 %503	float	%503	-1.35544491 (3215818552)
 %504	float	%504	0.00000000 (0)
 %506	float	%506	1.29593241 (1067835677)
 %507	float	%507	0.405154824 (1053782132)
 %508	float	%508	1.46847677 (1069283084)
 %510	float	%510	-0.551496983 (3205312232)
 %511	float	%511	3.80125856 (1081296850)
 %512	float	%512	2.40925074 (1075458346)
 %513	float	%513	0.0352783203 (1024491520)
 %514	float	%514	0.344779313 (1051756266)
 %515	float	%515	-1.73627758 (3219013208)
 %516	float	%516	-0.629327714 (3206618015)
 %517	float	%517	0.00000000 (0)
 %518	float	%518	1.68006623 (1071058025)
 %519	float	%519	0.425040334 (1054449379)
 %520	float	%520	-0.333534658 (3198862606)
 %521	float	%521	0.00000000 (0)
 %522	float	%522	0.517839134 (1057263899)
 %523	float	%523	-0.704451561 (3207878384)
 %524	float	%524	1.63612974 (1070689459)
 %525	float	%525	-0.372898519 (3200183438)
 %526	float	%526	2.85447073 (1077325734)
 %527	float	%527	2.71125841 (1076725058)
 %528	float	%528	0.988159180 (1065154560)
 %529	integer	%529	4 (4)
 %530	integer	%530	1 (1)
 %532	integer	%532	3 (3)
 %534	integer	%534	77 (77)
 %536	float	%536	0.0352783203 (1024491520)
 %538	float	%538	0.00000000 (0)
 %539	integer	%539	0 (0)
 %540	float	%540	0.996002197 (1065286144)
 %541	integer	%541	1 (1)
 %542	float	%542	0.339994729 (1051595722)
 %543	float	%543	1.69014907 (1071142606)
 %544	float	%544	0.528861701 (1057448827)
 %545	float	%545	-0.341940552 (3199144661)
 %546	float	%546	-1.75057054 (3219133106)
 %547	float	%547	0.425316364 (1054458641)
 %548	float	%548	-0.710908234 (3207986709)
 %549	float	%549	2.88701677 (1077462242)
 %550	float	%550	-0.633671939 (3206690899)
 %551	float	%551	-0.345547676 (3199265696)
 %552	float	%552	1.64523280 (1070765821)
 %553	float	%553	2.74820542 (1076880025)
 %554	float	%554	0.00000000 (0)
 %555	float	%555	0.00000000 (0)
 %556	integer	%556	0 (0)
 %557	integer	%557	11266 (11266)
 %560	integer	%560	103 (103)
 %561	integer	%561	2129 (2129)
 %564	integer	%564	103 (103)
 %565	integer	%565	2819 (2819)
 %568	float	%568	0.777397990 (1061618574)
 %569	float	%569	-1.26837301 (3215088140)
 %570	float	%570	-1.01335251 (3212948873)
 %571	float	%571	0.00000000 (0)
 %573	float	%573	0.641078115 (1059331506)
 %574	float	%574	1.27206922 (1067635498)
 %575	float	%575	-1.10039127 (3213679007)
 %576	float	%576	0.00000000 (0)
 %578	float	%578	1.49153364 (1069476499)
 %579	float	%579	0.114335358 (1038756008)
 %580	float	%580	1.00112748 (1065362674)
 %582	float	%582	1.32250786 (1068058608)
 %583	float	%583	0.838395357 (1062641940)
 %584	float	%584	1.74153662 (1071573676)
 %585	float	%585	0.00000000 (0)
 %586	float	%586	0.339994729 (1051595722)
 %587	float	%587	-1.75057054 (3219133106)
 %588	float	%588	-0.633671939 (3206690899)
 %589	float	%589	0.00000000 (0)
 %590	float	%590	1.69014907 (1071142606)
 %591	float	%591	0.425316364 (1054458641)
 %592	float	%592	-0.345547676 (3199265696)
 %593	float	%593	0.00000000 (0)
 %594	float	%594	0.528861701 (1057448827)
 %595	float	%595	-0.710908234 (3207986709)
 %596	float	%596	1.64523280 (1070765821)
 %597	float	%597	-0.341940552 (3199144661)
 %598	float	%598	2.88701677 (1077462242)
 %599	float	%599	2.74820542 (1076880025)
 %600	float	%600	0.996002197 (1065286144)
 %601	integer	%601	2 (2)
 %602	integer	%602	1 (1)
 %604	integer	%604	1 (1)
 %606	integer	%606	0 (0)
 %608	float	%608	0.00000000 (0)
 %611	float	%611	0.996002197 (1065286144)
 %612	float	%612	0.339994729 (1051595722)
 %613	float	%613	1.69014907 (1071142606)
 %614	float	%614	0.528861701 (1057448827)
 %615	float	%615	-0.341940552 (3199144661)
 %616	float	%616	-1.75057054 (3219133106)
 %617	float	%617	0.425316364 (1054458641)
 %618	float	%618	-0.710908234 (3207986709)
 %619	float	%619	2.88701677 (1077462242)
 %620	float	%620	-0.633671939 (3206690899)
 %621	float	%621	-0.345547676 (3199265696)
 %622	float	%622	1.64523280 (1070765821)
 %623	float	%623	2.74820542 (1076880025)
 %624	float	%624	0.00000000 (0)
 %625	float	%625	0.00000000 (0)
 %626	float	%626	0.996002197 (1065286144)
 %627	float	%627	0.341359437 (1051641514)
 %628	float	%628	-1.75759709 (3219192049)
 %629	float	%629	-0.636215448 (3206733572)
 %630	float	%630	0.00000000 (0)
 %631	float	%631	1.69693315 (1071199515)
 %632	float	%632	0.427023530 (1054515924)
 %633	float	%633	-0.346934676 (3199312236)
 %634	float	%634	0.00000000 (0)
 %635	float	%635	0.530984521 (1057484442)
 %636	float	%636	-0.713761747 (3208034583)
 %637	float	%637	1.65183663 (1070821218)
 %638	float	%638	-0.343313068 (3199190715)
