Name	Type	Location	Value
 %9	integer	%9	5921 (8.29708821e-42)
 %18[0]	float	%18[0]	0.509765625
 %18[1]	float	%18[1]	0.372558594
 %18[2]	float	%18[2]	0.0705566406
 %18[3]	float	%18[3]	0.0352783203
 %19[0]	float	%19[0]	0.00784301758
 %19[1]	float	%19[1]	0.00000000
 %19[2]	float	%19[2]	0.00000000
 %19[3]	float	%19[3]	0.00000000
 %20[0]	integer	%20[0]	82 (1.14906474e-43)
 %20[1]	integer	%20[1]	81 (1.13505176e-43)
 %20[2]	integer	%20[2]	85 (1.19110369e-43)
 %20[3]	integer	%20[3]	77 (1.07899982e-43)
 %21[0]	integer	%21[0]	80 (1.12103877e-43)
 %21[1]	integer	%21[1]	0 (0.00000000)
 %21[2]	integer	%21[2]	0 (0.00000000)
 %21[3]	integer	%21[3]	0 (0.00000000)
 %35	integer	%35	300 (4.20389539e-43)
 %36	integer	%36	300 (4.20389539e-43)
 %39	integer	%39	13130 (1.83990488e-41)
 %40	integer	%40	13130 (1.83990488e-41)
 %41	integer	%41	19051 (2.66961370e-41)
 %44	integer	%44	6804 (9.53443475e-42)
 %45	integer	%45	6804 (9.53443475e-42)
 %46	integer	%46	6804 (9.53443475e-42)
 %50	integer	%50	1497979519 (3.54224824e+15)
 %51	integer	%51	-1511445029 (-4.04501299e-16)
 %53	float	%53	2.11718750
 %54	float	%54	0.875488281
 %55	float	%55	0.913574219
 %56	float	%56	0.121704102
 %58	integer	%58	2143807951 (nan)
 %60	integer	%60	89211986 (9.83968123e-36)
 %61	integer	%61	81997 (1.14902270e-40)
 %63	integer	%63	152199042 (1.76190183e-33)
 %64	integer	%64	2 (2.80259693e-45)
 %66	integer	%66	-1 (-nan)
 %69	integer	%69	119 (1.66754517e-43)
 %70	integer	%70	119 (1.66754517e-43)
 %73	float	%73	-7.97523975
 %74	float	%74	1.15353990
 %75	float	%75	-2.75530005
 %76	float	%76	-1.70141183e+38
 %77	float	%77	-7.97523975
 %78	float	%78	1.15353990
 %79	float	%79	-2.75530005
 %80	float	%80	-1.70141183e+38
 %83	float	%83	15.9504795
 %84	float	%84	0.857070208
 %85	float	%85	6.37003994
 %86	float	%86	2.41205505e-41
 %87	float	%87	15.9504795
 %88	float	%88	0.857070208
 %89	float	%89	6.37003994
 %90	float	%90	2.41205505e-41
 %91	integer	%91	23167 (3.24638815e-41)
 %92	float	%92	23167.0000
 %93	float	%93	0.707022309
 %94	integer	%94	22857 (3.20294790e-41)
 %95	float	%95	22857.0000
 %96	float	%96	0.697561562
 %97	integer	%97	11739 (1.64498427e-41)
 %98	float	%98	11739.0000
 %99	float	%99	0.358256787
 %100	float	%100	11.2773447
 %101	float	%101	0.597859204
 %102	float	%102	2.28210998
 %103	float	%103	3.30210495
 %104	float	%104	1.75139904
 %105	float	%105	-0.473190069
 %108	integer	%108	0 (0.00000000)
 %109	integer	%109	0 (0.00000000)
 %110	integer	%110	0 (0.00000000)
 %111	integer	%111	1 (1.40129846e-45)
 %115	integer	%115	0 (0.00000000)
 %116	integer	%116	0 (0.00000000)
 %119	integer	%119	0 (0.00000000)
 %120	integer	%120	0 (0.00000000)
 %121	integer	%121	1 (1.40129846e-45)
 %152	float	%152	3.30210495
 %153	float	%153	1.75139904
 %154	float	%154	-0.473190069
 %157	integer	%157	2687054 (3.76536464e-39)
 %158	integer	%158	2687054 (3.76536464e-39)
 %159	integer	%159	41 (5.74532370e-44)
 %160	integer	%160	78 (1.09301280e-43)
 %161	integer	%161	1 (1.40129846e-45)
 %162	integer	%162	41 (5.74532370e-44)
 %163	integer	%163	41 (5.74532370e-44)
 %167	float	%167	0.172910511
 %168	float	%168	0.00000000
 %169	float	%169	0.984937489
 %171	float	%171	-0.00000000
 %172	float	%172	1.00000000
 %173	float	%173	0.00000000
 %175	float	%175	-0.984937489
 %176	float	%176	-0.00000000
 %177	float	%177	0.172910511
 %179	float	%179	-13.4835205
 %180	float	%180	-9.91412354
 %181	float	%181	-24.3421021
 %183	float	%183	0.172910511
 %184	float	%184	0.00000000
 %185	float	%185	0.984937489
 %187	float	%187	-0.00000000
 %188	float	%188	1.00000000
 %189	float	%189	0.00000000
 %191	float	%191	-0.984937489
 %192	float	%192	-0.00000000
 %193	float	%193	0.172910511
 %195	float	%195	-13.4729309
 %196	float	%196	-9.84912109
 %197	float	%197	-24.3450623
 %200	integer	%200	0 (0.00000000)
 %201	integer	%201	0 (0.00000000)
 %202	integer	%202	0 (0.00000000)
 %203	integer	%203	42473 (5.95173497e-41)
 %204	integer	%204	42473 (5.95173497e-41)
 %205	integer	%205	1 (1.40129846e-45)
 %206	float	%206	-1.00000000
 %207	float	%207	-23063.0000
 %208	float	%208	-0.703848362
 %209	float	%209	0.703848362
 %210	float	%210	1.40769672
 %211	float	%211	0.407696724
 %212	integer	%212	463 (6.48801189e-43)
 %213	float	%213	463.000000
 %214	float	%214	0.905180812
 %215	float	%215	-0.0948191881
 %216	float	%216	0.166216612
 %217	float	%217	0.00899067800
 %218	float	%218	0.991009295
 %219	float	%219	0.824792683
 %220	float	%220	0.824792683
 %221	float	%221	0.908180952
 %222	float	%222	-0.908180952
 %223	float	%223	0.407714844
 %224	float	%224	-0.0948486328
 %225	float	%225	-0.908203125
 %226	integer	%226	1 (1.40129846e-45)
 %227	integer	%227	1 (1.40129846e-45)
 %228	integer	%228	2093562 (2.93370522e-39)
 %229	integer	%229	506 (7.09057023e-43)
 %230	float	%230	506.000000
 %231	float	%231	0.989247322
 %232	float	%232	-0.0107526779
 %233	integer	%233	2044 (2.86425406e-42)
 %234	integer	%234	1020 (1.42932443e-42)
 %235	float	%235	1020.00000
 %236	float	%236	1.99413490
 %237	float	%237	0.994134903
 %238	float	%238	0.000115620081
 %239	float	%239	0.999884367
 %240	float	%240	0.988304198
 %241	float	%241	0.0115801692
 %242	float	%242	0.0115801692
 %243	float	%243	0.107611194
 %244	integer	%244	1 (1.40129846e-45)
 %245	integer	%245	1 (1.40129846e-45)
 %246	float	%246	-1.00000000
 %247	float	%247	-0.107611194
 %248	float	%248	-0.0107498169
 %249	float	%249	0.994140625
 %250	float	%250	-0.107604980
 %251	integer	%251	0 (0.00000000)
 %252	integer	%252	0 (0.00000000)
 %253	float	%253	1.00000000
 %254	float	%254	2.11718750
 %255	float	%255	0.875488281
 %258	float	%258	15.9504795
 %259	float	%259	0.857070208
 %260	float	%260	6.37003994
 %261	float	%261	2.41205505e-41
 %262	float	%262	15.9504795
 %263	float	%263	0.857070208
 %264	float	%264	6.37003994
 %265	float	%265	2.41205505e-41
 %268	integer	%268	24 (3.36311631e-44)
 %269	integer	%269	24 (3.36311631e-44)
 %272	integer	%272	11266 (1.57870285e-41)
 %273	integer	%273	11266 (1.57870285e-41)
 %276	integer	%276	2031647 (2.84694382e-39)
 %277	integer	%277	2031647 (2.84694382e-39)
 %280	integer	%280	2026 (2.83903069e-42)
 %281	integer	%281	2026 (2.83903069e-42)
 %284	integer	%284	1114258 (1.56140802e-39)
 %285	integer	%285	1114258 (1.56140802e-39)
 %286	integer	%286	128 (1.79366203e-43)
 %287	integer	%287	0 (0.00000000)
 %288	integer	%288	65535 (9.18340949e-41)
 %290	integer	%290	15 (2.10194770e-44)
 %291	float	%291	15.0000000
 %292	float	%292	1.00000000
 %298	float	%298	1.00000000
 %301	float	%301	0.00000000
 %302	float	%302	0.00000000
 %303	float	%303	1.00000000
 %304	float	%304	1.00000000
 %305	integer	%305	255 (3.57331108e-43)
 %306	integer	%306	63 (8.82818033e-44)
 %307	float	%307	63.0000000
 %308	float	%308	1.00000000
 %309	integer	%309	17490 (2.45087101e-41)
 %310	integer	%310	82 (1.14906474e-43)
 %311	integer	%311	87121 (1.22082524e-40)
 %312	integer	%312	21585 (3.02470274e-41)
 %313	integer	%313	81 (1.13505176e-43)
 %314	integer	%314	85 (1.19110369e-43)
 %315	integer	%315	85 (1.19110369e-43)
 %316	integer	%316	85 (1.19110369e-43)
 %317	integer	%317	16461 (2.30667740e-41)
 %318	integer	%318	77 (1.07899982e-43)
 %319	integer	%319	80 (1.12103877e-43)
 %320	integer	%320	80 (1.12103877e-43)
 %321	integer	%321	80 (1.12103877e-43)
 %322	integer	%322	0 (0.00000000)
 %323	integer	%323	0 (0.00000000)
 %324	integer	%324	0 (0.00000000)
 %325	integer	%325	0 (0.00000000)
 %332	integer	%332	0 (0.00000000)
 %333	integer	%333	0 (0.00000000)
 %334	integer	%334	130 (1.82168800e-43)
 %335	float	%335	130.000000
 %336	float	%336	0.509765625
 %337	integer	%337	594527 (8.33109772e-40)
 %338	integer	%338	95 (1.33123354e-43)
 %339	float	%339	95.0000000
 %340	float	%340	0.372558594
 %341	integer	%341	2322 (3.25381503e-42)
 %342	integer	%342	18 (2.52233724e-44)
 %343	float	%343	18.0000000
 %344	float	%344	0.0705566406
 %345	integer	%345	9 (1.26116862e-44)
 %346	float	%346	9.00000000
 %347	float	%347	0.0352783203
 %348	integer	%348	2 (2.80259693e-45)
 %349	float	%349	2.00000000
 %350	float	%350	0.00784301758
 %351	integer	%351	0 (0.00000000)
 %352	integer	%352	0 (0.00000000)
 %353	float	%353	0.00000000
 %354	float	%354	0.00000000
 %355	integer	%355	0 (0.00000000)
 %356	integer	%356	0 (0.00000000)
 %357	float	%357	0.00000000
 %358	float	%358	0.00000000
 %359	integer	%359	0 (0.00000000)
 %360	float	%360	0.00000000
 %361	float	%361	0.00000000
 %364	integer	%364	24 (3.36311631e-44)
 %365	integer	%365	24 (3.36311631e-44)
 %368	integer	%368	11266 (1.57870285e-41)
 %369	integer	%369	11266 (1.57870285e-41)
 %372	integer	%372	17957138 (2.68167328e-38)
 %373	integer	%373	17957138 (2.68167328e-38)
 %374	integer	%374	274 (3.83955779e-43)
 %377	integer	%377	2031647 (2.84694382e-39)
 %378	integer	%378	2031647 (2.84694382e-39)
 %381	integer	%381	589834 (8.26533478e-40)
 %382	integer	%382	589834 (8.26533478e-40)
 %383	integer	%383	31 (4.34402524e-44)
 %384	integer	%384	9 (1.26116862e-44)
 %387	integer	%387	6 (8.40779079e-45)
 %388	integer	%388	6 (8.40779079e-45)
 %390	integer	%390	9 (1.26116862e-44)
 %393	integer	%393	2716 (3.80592663e-42)
 %394	integer	%394	2716 (3.80592663e-42)
 %397	integer	%397	-2147483648 (-0.00000000)
 %398	integer	%398	-2147483648 (-0.00000000)
 %401	integer	%401	2026 (2.83903069e-42)
 %402	integer	%402	2026 (2.83903069e-42)
 %403	integer	%403	0 (0.00000000)
 %404	integer	%404	0 (0.00000000)
 %405	integer	%405	1 (1.40129846e-45)
 %406	integer	%406	1 (1.40129846e-45)
 %407	integer	%407	1 (1.40129846e-45)
 %408	integer	%408	6 (8.40779079e-45)
 %413	float	%413	0.509765625
 %414	float	%414	0.372558594
 %415	float	%415	0.0705566406
 %416	float	%416	0.0352783203
 %417	float	%417	0.00784301758
 %418	float	%418	0.00000000
 %419	float	%419	0.00000000
 %420	float	%420	0.00000000
 %421	integer	%421	82 (1.14906474e-43)
 %422	integer	%422	81 (1.13505176e-43)
 %423	integer	%423	85 (1.19110369e-43)
 %424	integer	%424	77 (1.07899982e-43)
 %425	integer	%425	80 (1.12103877e-43)
 %426	integer	%426	0 (0.00000000)
 %427	integer	%427	0 (0.00000000)
 %428	integer	%428	0 (0.00000000)
 %429	integer	%429	4 (5.60519386e-45)
 %430	integer	%430	1 (1.40129846e-45)
 %432	integer	%432	24 (3.36311631e-44)
 %434	integer	%434	31 (4.34402524e-44)
 %436	integer	%436	9 (1.26116862e-44)
 %440	float	%440	0.988159180
 %441	float	%441	0.344779313
 %442	float	%442	1.68006623
 %443	float	%443	0.517839134
 %444	float	%444	-0.372898519
 %445	float	%445	-1.73627758
 %446	float	%446	0.425040334
 %447	float	%447	-0.704451561
 %448	float	%448	2.85447073
 %449	float	%449	-0.629327714
 %450	float	%450	-0.333534658
 %451	float	%451	1.63612974
 %452	float	%452	2.71125841
 %453	float	%453	0.00000000
 %454	float	%454	0.00000000
 %455	integer	%455	2 (2.80259693e-45)
 %456	integer	%456	2 (2.80259693e-45)
 %457	integer	%457	1 (1.40129846e-45)
 %459	integer	%459	24 (3.36311631e-44)
 %461	integer	%461	31 (4.34402524e-44)
 %463	integer	%463	9 (1.26116862e-44)
 %466	float	%466	0.0352783203
 %467	integer	%467	77 (1.07899982e-43)
 %468	float	%468	0.952880859
 %469	integer	%469	3 (4.20389539e-45)
 %470	float	%470	0.320858359
 %471	float	%471	1.63194263
 %472	float	%472	0.472120821
 %473	float	%473	-0.353442639
 %474	float	%474	-1.66995919
 %475	float	%475	0.405653983
 %476	float	%476	-0.718744755
 %477	float	%477	2.72036862
 %478	float	%478	-0.626514673
 %479	float	%479	-0.285716832
 %480	float	%480	1.58432436
 %481	float	%481	2.62626410
 %482	float	%482	0.00000000
 %483	float	%483	0.00000000
 %484	integer	%484	77 (1.07899982e-43)
 %485	integer	%485	11343 (1.58949285e-41)
 %488	integer	%488	77 (1.07899982e-43)
 %489	integer	%489	2103 (2.94693067e-42)
 %492	integer	%492	77 (1.07899982e-43)
 %493	integer	%493	2793 (3.91382661e-42)
 %496	float	%496	0.678063691
 %497	float	%497	-1.87986147
 %498	float	%498	-0.0797385201
 %499	float	%499	0.00000000
 %501	float	%501	1.36411369
 %502	float	%502	0.549525559
 %503	float	%503	-1.35544491
 %504	float	%504	0.00000000
 %506	float	%506	1.29593241
 %507	float	%507	0.405154824
 %508	float	%508	1.46847677
 %510	float	%510	-0.551496983
 %511	float	%511	3.80125856
 %512	float	%512	2.40925074
 %513	float	%513	0.0352783203
 %514	float	%514	0.344779313
 %515	float	%515	-1.73627758
 %516	float	%516	-0.629327714
 %517	float	%517	0.00000000
 %518	float	%518	1.68006623
 %519	float	%519	0.425040334
 %520	float	%520	-0.333534658
 %521	float	%521	0.00000000
 %522	float	%522	0.517839134
 %523	float	%523	-0.704451561
 %524	float	%524	1.63612974
 %525	float	%525	-0.372898519
 %526	float	%526	2.85447073
 %527	float	%527	2.71125841
 %528	float	%528	0.988159180
 %529	integer	%529	4 (5.60519386e-45)
 %530	integer	%530	1 (1.40129846e-45)
 %532	integer	%532	3 (4.20389539e-45)
