Event	Queue	Global ID	Resource ID	Name	Binding	Read/Write	States
	Compute Queue 0	154	18824		CS SRV [0, space=15]	Read	STATE_COMMON
	Compute Queue 0	154	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	156	18824		CS SRV [0, space=15]	Read	STATE_COMMON
	Compute Queue 0	156	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=16]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=21]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	159	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	162	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	168	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	168	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	170	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	170	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	170	18824		CS SRV [0, space=15]	Read	STATE_COMMON
	Compute Queue 0	170	18824		CS SRV [0, space=21]	Read	STATE_COMMON
	Compute Queue 0	170	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	172	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	172	18824		CS SRV [0, space=16]	Read	STATE_COMMON
	Compute Queue 0	172	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	172	18824		CS SRV [0, space=21]	Read	STATE_COMMON
	Compute Queue 0	172	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	174	18824		CS SRV [0, space=22]	Read	STATE_COMMON
