"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[0]",,"10","0","0","1.72927","-14.2322","0.2","27.4415","-0.518066","0.259033","-0.81543","201","255"
"[1]",,"15","0","0","1.67474","-14.0475","0.2","27.362","-0.611816","0.364746","-0.70166","201","255"
"[2]",,"63","0","0","1.67365","-14.0162","0.2","27.4038","-0.643555","0.265869","-0.717773","201","255"
"[3]",,"15","1","0","1.67474","-14.0475","0.2","27.362","-0.611816","0.364746","-0.70166","201","255"
"[4]",,"10","1","0","1.72927","-14.2322","0.2","27.4415","-0.518066","0.259033","-0.81543","201","255"
"[5]",,"0","1","0","1.72112","-14.2396","0.2","27.3796","-0.62793","0.351562","-0.694336","201","255"
"[6]",,"5","2","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[7]",,"15","2","0","1.67474","-14.0475","0.2","27.362","-0.611816","0.364746","-0.70166","201","255"
"[8]",,"0","2","0","1.72112","-14.2396","0.2","27.3796","-0.62793","0.351562","-0.694336","201","255"
"[9]",,"15","3","0","1.67474","-14.0475","0.2","27.362","-0.611816","0.364746","-0.70166","201","255"
"[10]",,"5","3","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[11]",,"18","3","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[12]",,"18","4","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[13]",,"9","4","0","1.61501","-13.809","0.2","27.3345","-0.852539","0.209229","-0.479248","201","255"
"[14]",,"15","4","0","1.67474","-14.0475","0.2","27.362","-0.611816","0.364746","-0.70166","201","255"
"[15]",,"9","5","0","1.61501","-13.809","0.2","27.3345","-0.852539","0.209229","-0.479248","201","255"
"[16]",,"18","5","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[17]",,"8","5","0","1.55721","-13.9056","0.2","27.2587","-0.999023","0.0296021","0.0299835","201","255"
"[18]",,"8","6","0","1.55721","-13.9056","0.2","27.2587","-0.999023","0.0296021","0.0299835","201","255"
"[19]",,"7","6","0","1.53831","-13.5436","0.2","27.2756","-0.957031","0.119568","-0.263428","201","255"
"[20]",,"9","6","0","1.61501","-13.809","0.2","27.3345","-0.852539","0.209229","-0.479248","201","255"
"[21]",,"10","7","0","1.72927","-14.2322","0.2","27.4415","-0.518066","0.259033","-0.81543","201","255"
"[22]",,"11","7","0","1.78102","-14.5317","0.2","27.4122","-0.445068","0.13855","-0.884766","201","255"
"[23]",,"0","7","0","1.72112","-14.2396","0.2","27.3796","-0.62793","0.351562","-0.694336","201","255"
"[24]",,"2","8","0","1.71893","-14.5535","0.2","27.3283","-0.986816","0.0734863","-0.1427","201","255"
"[25]",,"0","8","0","1.72112","-14.2396","0.2","27.3796","-0.62793","0.351562","-0.694336","201","255"
"[26]",,"11","8","0","1.78102","-14.5317","0.2","27.4122","-0.445068","0.13855","-0.884766","201","255"
"[27]",,"0","9","0","1.72112","-14.2396","0.2","27.3796","-0.62793","0.351562","-0.694336","201","255"
"[28]",,"2","9","0","1.71893","-14.5535","0.2","27.3283","-0.986816","0.0734863","-0.1427","201","255"
"[29]",,"5","9","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[30]",,"4","10","0","1.67274","-14.5853","0.2","27.3349","-0.739746","-0.250732","0.624023","201","255"
"[31]",,"5","10","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[32]",,"2","10","0","1.71893","-14.5535","0.2","27.3283","-0.986816","0.0734863","-0.1427","201","255"
"[33]",,"5","11","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[34]",,"4","11","0","1.67274","-14.5853","0.2","27.3349","-0.739746","-0.250732","0.624023","201","255"
"[35]",,"1","11","0","1.59886","-14.2805","0.2","27.3257","-0.688477","-0.191284","0.699707","201","255"
"[36]",,"3","12","0","1.55058","-14.1205","0.2","27.3077","-0.692871","-0.241943","0.679199","201","255"
"[37]",,"5","12","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[38]",,"1","12","0","1.59886","-14.2805","0.2","27.3257","-0.688477","-0.191284","0.699707","201","255"
"[39]",,"5","13","0","1.65438","-14.2531","0.2","27.309","-0.987793","0.153931","-0.0135651","201","255"
"[40]",,"3","13","0","1.55058","-14.1205","0.2","27.3077","-0.692871","-0.241943","0.679199","201","255"
"[41]",,"18","13","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[42]",,"16","14","0","1.49705","-13.9606","0.2","27.2949","-0.665039","-0.335449","0.666992","201","255"
"[43]",,"18","14","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[44]",,"3","14","0","1.55058","-14.1205","0.2","27.3077","-0.692871","-0.241943","0.679199","201","255"
"[45]",,"18","15","0","1.60438","-14.0586","0.2","27.2835","-0.994629","0.102173","-0.00821686","201","255"
"[46]",,"16","15","0","1.49705","-13.9606","0.2","27.2949","-0.665039","-0.335449","0.666992","201","255"
"[47]",,"8","15","0","1.55721","-13.9056","0.2","27.2587","-0.999023","0.0296021","0.0299835","201","255"
"[48]",,"11","16","0","1.78102","-14.5317","0.2","27.4122","-0.445068","0.13855","-0.884766","201","255"
"[49]",,"10","16","0","1.72927","-14.2322","0.2","27.4415","-0.518066","0.259033","-0.81543","201","255"
"[50]",,"17","16","0","1.74318","-14.5613","0.2","27.5116","-0.594238","-0.143799","-0.791016","201","255"
"[51]",,"17","17","0","1.74318","-14.5613","0.2","27.5116","-0.594238","-0.143799","-0.791016","201","255"
"[52]",,"4385","17","0","1.77802","-14.6921","0.2","27.4294","-0.299805","-0.0344238","-0.953613","201","255"
"[53]",,"11","17","0","1.78102","-14.5317","0.2","27.4122","-0.445068","0.13855","-0.884766","201","255"
"[54]",,"4385","18","0","1.77802","-14.6921","0.2","27.4294","-0.299805","-0.0344238","-0.953613","201","255"
"[55]",,"2","18","0","1.71893","-14.5535","0.2","27.3283","-0.986816","0.0734863","-0.1427","201","255"
"[56]",,"11","18","0","1.78102","-14.5317","0.2","27.4122","-0.445068","0.13855","-0.884766","201","255"
"[57]",,"2","19","0","1.71893","-14.5535","0.2","27.3283","-0.986816","0.0734863","-0.1427","201","255"
