Queue ID, Parent, Name, Global ID
0, -1, Signal, 2
1, -1, Wait, 682
2, -1, Wait, 683
3, -1, Reset, 
4, -1, SetDescriptorHeaps, 
5, -1, EndQuery, 
6, -1, BeginQuery, 
7, -1, EndQuery, 
8, -1, EndQuery, 
9, -1, Close, 
10, -1, Signal, 684
11, -1, Wait, 685
12, -1, Wait, 686
13, -1, Reset, 
14, -1, SetDescriptorHeaps, 
15, -1, BeginQuery, 
16, -1, EndQuery, 
17, -1, EndQuery, 
18, -1, EndQuery, 
19, -1, EndQuery, 
20, -1, BeginQuery, 
21, -1, Barrier, 687
22, -1, CopyBufferRegion, 688
23, -1, Barrier, 689
24, -1, CopyBufferRegion, 690
25, -1, Barrier, 691
26, -1, CopyBufferRegion, 692
27, -1, CopyBufferRegion, 693
28, -1, CopyBufferRegion, 694
29, -1, CopyBufferRegion, 695
30, -1, CopyBufferRegion, 696
31, -1, CopyBufferRegion, 697
32, -1, CopyBufferRegion, 698
33, -1, Barrier, 699
34, -1, CopyBufferRegion, 700
35, -1, CopyBufferRegion, 701
36, -1, CopyBufferRegion, 702
37, -1, Barrier, 703
38, -1, CopyBufferRegion, 704
39, -1, Barrier, 705
40, -1, CopyBufferRegion, 706
41, -1, CopyBufferRegion, 707
42, -1, CopyBufferRegion, 708
43, -1, CopyBufferRegion, 709
44, -1, CopyBufferRegion, 710
45, -1, CopyBufferRegion, 711
46, -1, CopyBufferRegion, 712
47, -1, Barrier, 713
48, -1, CopyBufferRegion, 714
49, -1, Barrier, 715
50, -1, CopyBufferRegion, 716
51, -1, Barrier, 717
52, -1, CopyBufferRegion, 718
53, -1, CopyBufferRegion, 719
54, -1, Barrier, 720
55, -1, CopyBufferRegion, 721
56, -1, SetComputeRootSignature, 
57, -1, SetDescriptorHeaps, 
58, -1, SetPipelineState, 
59, -1, SetComputeRootDescriptorTable, 
60, -1, SetComputeRootDescriptorTable, 
61, -1, Dispatch, 722
62, -1, SetPipelineState, 
63, -1, SetComputeRootConstantBufferView, 
64, -1, SetComputeRootDescriptorTable, 
65, -1, SetComputeRootDescriptorTable, 
66, -1, Barrier, 723
67, -1, Dispatch, 724
68, -1, SetComputeRootSignature, 
69, -1, SetDescriptorHeaps, 
70, -1, SetPipelineState, 
71, -1, SetComputeRootDescriptorTable, 
72, -1, SetComputeRootDescriptorTable, 
73, -1, SetComputeRootDescriptorTable, 
74, -1, SetComputeRootDescriptorTable, 
75, -1, SetComputeRootDescriptorTable, 
76, -1, Barrier, 725
77, -1, Dispatch, 726
78, -1, Barrier, 727
79, -1, ClearDepthStencilView, 728
80, -1, Barrier, 729
81, -1, ClearRenderTargetView, 730
82, -1, ClearRenderTargetView, 731
83, -1, Barrier, 732
84, -1, ClearDepthStencilView, 733
85, -1, SetGraphicsRootSignature, 
86, -1, SetDescriptorHeaps, 
87, -1, OMSetRenderTargets, 
88, -1, RSSetViewports, 
89, -1, RSSetScissorRects, 
90, -1, IASetVertexBuffers, 
91, -1, SetPipelineState, 
92, -1, IASetPrimitiveTopology, 
93, -1, SetGraphicsRootConstantBufferView, 
94, -1, SetGraphicsRootDescriptorTable, 
95, -1, SetGraphicsRootDescriptorTable, 
96, -1, SetGraphicsRootDescriptorTable, 
97, -1, Barrier, 734
98, -1, ExecuteIndirect, 735
99, 98, IASetIndexBuffer, 
100, 98, SetGraphicsRoot32BitConstants, 
101, 98, DrawIndexedInstanced, 736
102, 98, IASetIndexBuffer, 
103, 98, SetGraphicsRoot32BitConstants, 
104, 98, DrawIndexedInstanced, 737
105, 98, IASetIndexBuffer, 
106, 98, SetGraphicsRoot32BitConstants, 
107, 98, DrawIndexedInstanced, 738
108, 98, IASetIndexBuffer, 
109, 98, SetGraphicsRoot32BitConstants, 
110, 98, DrawIndexedInstanced, 739
111, 98, IASetIndexBuffer, 
112, 98, SetGraphicsRoot32BitConstants, 
113, 98, DrawIndexedInstanced, 740
114, 98, IASetIndexBuffer, 
115, 98, SetGraphicsRoot32BitConstants, 
116, 98, DrawIndexedInstanced, 741
117, 98, IASetIndexBuffer, 
118, 98, SetGraphicsRoot32BitConstants, 
119, 98, DrawIndexedInstanced, 742
120, 98, IASetIndexBuffer, 
121, 98, SetGraphicsRoot32BitConstants, 
122, 98, DrawIndexedInstanced, 743
123, 98, IASetIndexBuffer, 
124, 98, SetGraphicsRoot32BitConstants, 
125, 98, DrawIndexedInstanced, 744
126, 98, IASetIndexBuffer, 
127, 98, SetGraphicsRoot32BitConstants, 
128, 98, DrawIndexedInstanced, 745
129, 98, IASetIndexBuffer, 
130, 98, SetGraphicsRoot32BitConstants, 
131, 98, DrawIndexedInstanced, 746
132, 98, IASetIndexBuffer, 
133, 98, SetGraphicsRoot32BitConstants, 
134, 98, DrawIndexedInstanced, 747
135, 98, IASetIndexBuffer, 
136, 98, SetGraphicsRoot32BitConstants, 
137, 98, DrawIndexedInstanced, 748
138, 98, IASetIndexBuffer, 
