"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[0]",,"1313","0","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[1]",,"1311","0","0","-5.15033","-9.91378","0.2","25.9494","-0.138794","-0.818359","-0.557617","201","255"
"[2]",,"1325","0","0","-5.17271","-9.88593","0.2","25.9908","0.631836","-0.663574","-0.400146","201","255"
"[3]",,"1325","1","0","-5.17271","-9.88593","0.2","25.9908","0.631836","-0.663574","-0.400146","201","255"
"[4]",,"4003","1","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[5]",,"1313","1","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[6]",,"4003","2","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[7]",,"4899","2","0","-5.15005","-9.98976","0.2","25.9891","0.190186","-0.725098","-0.662109","201","255"
"[8]",,"1313","2","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[9]",,"4003","3","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[10]",,"4898","3","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[11]",,"4899","3","0","-5.15005","-9.98976","0.2","25.9891","0.190186","-0.725098","-0.662109","201","255"
"[12]",,"1309","4","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[13]",,"4899","4","0","-5.15005","-9.98976","0.2","25.9891","0.190186","-0.725098","-0.662109","201","255"
"[14]",,"4898","4","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[15]",,"1310","5","0","-5.17268","-9.93674","0.2","25.9153","-0.425781","-0.790527","-0.439697","201","255"
"[16]",,"1309","5","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[17]",,"4898","5","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[18]",,"1309","6","0","-5.16013","-9.93688","0.2","25.9626","-0.246826","-0.196411","-0.949219","201","255"
"[19]",,"1310","6","0","-5.17268","-9.93674","0.2","25.9153","-0.425781","-0.790527","-0.439697","201","255"
"[20]",,"1326","6","0","-5.15033","-9.91378","0.2","25.9494","-0.138794","-0.818359","-0.557617","201","255"
"[21]",,"4003","7","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[22]",,"1325","7","0","-5.17271","-9.88593","0.2","25.9908","0.631836","-0.663574","-0.400146","201","255"
"[23]",,"4005","7","0","-5.22002","-9.87181","0.2","25.988","0.755371","-0.609863","0.239624","201","255"
"[24]",,"4005","8","0","-5.22002","-9.87181","0.2","25.988","0.755371","-0.609863","0.239624","201","255"
"[25]",,"3983","8","0","-5.20068","-9.96741","0.2","25.9779","0.440674","-0.879395","0.179932","201","255"
"[26]",,"4003","8","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[27]",,"4898","9","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[28]",,"4003","9","0","-5.17589","-9.92445","0.2","25.9962","0.793945","-0.326416","-0.513672","201","255"
"[29]",,"3983","9","0","-5.20068","-9.96741","0.2","25.9779","0.440674","-0.879395","0.179932","201","255"
"[30]",,"3983","10","0","-5.20068","-9.96741","0.2","25.9779","0.440674","-0.879395","0.179932","201","255"
"[31]",,"3424","10","0","-5.19976","-9.94553","0.2","25.9139","-0.092041","-0.957031","-0.275146","201","255"
"[32]",,"4898","10","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[33]",,"1310","11","0","-5.17268","-9.93674","0.2","25.9153","-0.425781","-0.790527","-0.439697","201","255"
"[34]",,"4898","11","0","-5.17456","-9.97922","0.2","25.9546","-0.380371","-0.908691","-0.171387","201","255"
"[35]",,"3424","11","0","-5.19976","-9.94553","0.2","25.9139","-0.092041","-0.957031","-0.275146","201","255"
"[36]",,"3983","12","0","-5.20068","-9.96741","0.2","25.9779","0.440674","-0.879395","0.179932","201","255"
"[37]",,"4005","12","0","-5.22002","-9.87181","0.2","25.988","0.755371","-0.609863","0.239624","201","255"
"[38]",,"3410","12","0","-5.24769","-9.92607","0.2","25.9337","0.625","-0.735352","0.260742","201","255"
"[39]",,"3424","13","0","-5.19976","-9.94553","0.2","25.9139","-0.092041","-0.957031","-0.275146","201","255"
"[40]",,"3983","13","0","-5.20068","-9.96741","0.2","25.9779","0.440674","-0.879395","0.179932","201","255"
"[41]",,"3410","13","0","-5.24769","-9.92607","0.2","25.9337","0.625","-0.735352","0.260742","201","255"
"[42]",,"3422","14","0","-5.21686","-9.99581","0.2","25.9055","0.620117","-0.646484","-0.444336","201","255"
"[43]",,"3424","14","0","-5.19976","-9.94553","0.2","25.9139","-0.092041","-0.957031","-0.275146","201","255"
"[44]",,"3410","14","0","-5.24769","-9.92607","0.2","25.9337","0.625","-0.735352","0.260742","201","255"
