local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_x,delta_y,delta_z,delta_len,bone_idx,bone_wt,extra0_hex,extra1_hex,uv1_raw,pac_raw40_hex,runtime_raw40_hex
0,19854,66076,-0.065323978,1.786541155,-1.556945572,0.046650249,1.126911401,-3.220043998,0.111974227,-0.659629754,-1.663098426,1.792636609,"(162, 184, 18, 10)","(207, 43, 2, 2)",af98020a,00000000,2478906623,1d38e53b4849c55958ff6b31a2b8120aaf98020acf2b020200000000ffffffffe02d6a33ff1cc193,89419f11d60e301d99378e3b5541805a63afe9742518000000000000a45b000000000000fffffcff
1,19855,66077,-0.065277554,1.786297344,-1.556056334,0.029984102,1.095033157,-3.238273389,0.095261656,-0.691264187,-1.682217055,1.821201576,"(162, 184, 18, 10)","(192, 53, 10, 0)",af98020a,00000000,2719030512,1e38e13b5049c459991e6d25a2b8120aaf98020ac0350a0000000000fffffffff32d3833f01c11a2,2240940f320e16cecd377c3bd93e885aef473a5e2518000000000000b44b000000000000fffffcff
2,19856,66078,-0.065138283,1.786358297,-1.556723263,0.092841939,1.104054151,-3.177916321,0.157980222,-0.682304145,-1.621193059,1.766002160,"(162, 184, 18, 10)","(188, 56, 10, 0)",af98020a,00000000,2562792696,2138e23b4a49c5598462fe0ea2b8120aaf98020abc380a0000000000fffffffff52d4c33f81cc198,6c4528105110deba4b376e3b4e456c5ac38bae5525180000000000008d72000000000000fffffdff
3,19857,66079,-0.065184707,1.786297344,-1.556834417,0.032258868,1.132579999,-3.202370382,0.097443575,-0.653717345,-1.645535964,1.773310528,"(162, 184, 18, 10)","(189, 56, 9, 0)",af98020a,00000000,3364363895,2038e13b4949c459b246ae1aa2b8120aaf98020abd38090000000000ffffffffc82b6735771e88c8,5340fc11750fc81c97379f3b5f3f785a2966767e06940000000000008f70000000000000fffffcff
4,19858,66080,-0.066298878,1.785078291,-1.535937311,0.026688011,1.121608519,-3.231715254,0.092986889,-0.663469772,-1.695777943,1.823321566,"(161, 136, 2, 10)","(185, 64, 4, 1)",9f98720a,01000000,3395427921,0838cd3b054aae591f94ee16a188020a9f98720ab940040101000000fffffefff32ba535511e62ca,db3f48116d0ec424bd378f3b1b3e855a82abc9732518000000000000ab54000000000000fffffcff
5,19859,66081,-0.066484573,1.784895433,-1.537493479,0.095813063,1.128252360,-3.192255293,0.162297636,-0.656643073,-1.654761814,1.787668121,"(161, 136, 242, 9)","(129, 118, 4, 4)",a098720a,00000000,1029447226,0438ca3bf749b05908e0bf1aa188f209a098720a8176040400000000fffffffff42b7d363a1e5c3d,ac45b511d00f4bbe4d37803b7945735abf979e562518000000000000a35c000000000000fffffdff
6,19860,66082,-0.066252454,1.784285906,-1.537493479,0.052174682,1.143124810,-3.186808707,0.118427137,-0.641161096,-1.649315228,1.773514381,"(159, 136, 2, 10)","(98, 70, 65, 22)",a198320a,00000000,1074666966,0938c03bf749b05910c18e2e9f88020aa198320a6246411600000000ffffffff992bc736d61d0e40,0042a9120110481e7037a23bf641715a49e6b47a0694000000000000956a000000000000fffffcff
7,19861,66083,-0.066020335,1.783859237,-1.534158834,0.063594939,1.156473444,-3.178583250,0.129615275,-0.627385793,-1.644424416,1.764807274,"(159, 128, 34, 10)","(226, 26, 2, 1)",a18c620a,00000000,1263992992,0e38b93b154ab5596e53ae6d9f80220aa18c620ae21a020100000000ffffffff603cbf3da000574b,f64284134b10c81e5437a53b45436d5a6fb6047906940000000000009867000000000000fffffcff
8,19862,66084,-0.116900830,1.755089579,-1.986447799,0.073901025,1.167688735,-3.164688897,0.190801855,-0.587400844,-1.178241098,1.330299660,"(107, 168, 1, 0)","(255, 0, 0, 0)",00000000,00000000,2692808976,c633e139303a1f5bdc27e0a46ba8010000000000ff00000000000000ffffffffc93cf63d100181a0,d4433c14c810f0163637aa3b3944675a38fe147a06940000000000009a65000000000000fffffcff
9,19863,66085,-0.118757782,1.755150531,-2.035578230,-0.000005679,1.123376146,-3.238384543,0.118752103,-0.631774385,-1.202806314,1.363812291,"(107, 168, 225, 9)","(255, 0, 0, 0)",00000000,00000000,495459813,9e33e2397638195bbafb51af6ba8e10900000000ff00000000000000ffffffff6f2bf336e51d881d,9c3d6511310e8022e137973b0000885a6e03d8722518000000000000b24d000000000000fffffcff
10,19864,66086,-0.065973912,1.783981143,-1.532602666,0.083650025,1.185060244,-3.143124862,0.149623936,-0.598920898,-1.610522196,1.724782684,"(159, 128, 34, 10)","(229, 24, 1, 1)",a18c620a,00000000,732438088,0f38bb3b234ab459435e8a3e9f80220aa18c620ae518010100000000ffffffffca2b8d36481ea82b,a64459158a1120140f37b03bc7445d5aec49c57c06940000000000009e61000000000000fffffcff
11,19865,66087,-0.066206031,1.784346859,-1.535937311,0.094884586,1.145014343,-3.198146498,0.161090617,-0.639332516,-1.662209187,1.788193400,"(159, 128, 34, 10)","(116, 70, 45, 24)",a198320a,00000000,854990432,0a38c13b054aaf59c1d4c9359f80220aa198320a74462d1800000000fffffffff42baf35601ef632,9845c8129b0f401b4a378c3b6c45765aa14ffa682518000000000000a857000000000000fffffdff
12,19866,66088,-0.066391726,1.784834480,-1.537604633,0.015639145,1.129227602,-3.209150826,0.082030870,-0.655606878,-1.671546192,1.797391475,"(161, 136, 242, 9)","(134, 114, 4, 3)",a098720a,00000000,3441040998,0638c93bf649af5918bcbf1aa188f209a098720a8672040300000000ffffffffd72b6235661e1acd,ed3ec511380f481bb037a23b243b7b5a2fa2977f06940000000000008f70000000000000fffffcff
13,19867,66089,-0.066345302,1.785078291,-1.536493085,0.162477652,1.291849316,-2.894916148,0.228822954,-0.493228975,-1.358423063,1.463197862,"(161, 136, 2, 10)","(168, 81, 3, 1)",9f98720a,01000000,3435667041,0738cd3b004aaf593244df15a188020a9f98720aa851030101000000fffffeffac2b1735611ec8cc,484b311c431a08023835ba3ba448ee59f19d56790694800000000000af50000000000000fffffcff
14,19868,66090,-0.066252454,1.785322101,-1.534825763,-0.000005679,1.128739981,-3.209261980,0.066246775,-0.656582120,-1.674436218,1.799784810,"(161, 136, 2, 10)","(196, 50, 5, 2)",a67c720a,01010000,3299942003,0938d13b0f4ab059e658ae0da188020aa67c720ac432050201010000fffffeff992b1735731eb1c4,9c3dbd11370f781cc237a93b00007b5a2102d87f0694000000000000926d000000000000fffffcff
15,19869,66091,-0.066206031,1.785261149,-1.534158834,0.119257086,1.135993348,-3.144681030,0.185463117,-0.649267800,-1.610522196,1.746346755,"(161, 136, 2, 10)","(214, 31, 6, 2)",a67c720a,01010000,3994558462,0a38d03b154aaf599f449d0da188020aa67c720ad61f060201010000fffffefffe4f3a25fe1f18ee,a54734127c11adb60037793bd0465e5adb43af5725180000000000008c73000000000000fffffdff
16,19870,66092,-0.039790883,1.745337152,-1.530046106,0.120789072,1.154401053,-3.158908847,0.160579955,-0.590936099,-1.628862741,1.740168160,"(121, 208, 33, 7)","(113, 47, 42, 33)",7ab8c107,0e060000,1194466379,433a41393a4ab0598559f90079d021077ab8c107712f2a210e060000fffffdffd42c8b344b1c3247,c6476213fc1079c40837883be646645ae35b0f5e2518000000000000a35c000000000000fffffdff
17,19871,66093,-0.064488350,1.787394492,-1.545941245,0.109925901,1.172443043,-3.169690864,0.174414250,-0.614951449,-1.623749619,1.745035370,"(162, 188, 50, 10)","(246, 4, 2, 1)",a0b8120a,01000000,911088983,2f38f33bab49cb59c31d793fa2bc320aa0b8120af604020101000000ffffffff3b2aa735571d4e36,dc468a149b10e00f1637973b4846695a3ecbea742518000000000000a758000000000000fffffdff
18,19872,66094,-0.064813316,1.784468764,-1.520931410,0.089638696,1.119353270,-3.203815394,0.154452012,-0.665115494,-1.682883984,1.816131203,"(159, 140, 2, 10)","(165, 72, 11, 3)",b690620a,03010000,2432245269,2838c33b8c4abc59f9ac3d4b9f8c020ab690620aa5480b0303010000ffffffffc62a4c34151ef990,27452311680f24cc62377f3b1f45785acf770d5b2518000000000000a659000000000000fffffdff
19,19873,66095,-0.065741792,1.785626865,-1.526266842,0.190471209,1.401320304,-2.754305300,0.256213001,-0.384306560,-1.228038458,1.312027092,"(161, 156, 98, 10)","(146, 53, 26, 25)",9f80220a,02020000,3188528836,1438d63b5c4ab559692e2b03a19c620a9f80220a92351a1902020000fffffeff6e418d3cc4160dbe,a34d3523341fb0012834bb3b7149af59b661d67c06948000000000008c71020000000000fffffbff
