draw_vertex_id,stored_vertex_index,raw_u16_x,raw_u16_y,raw_u16_z,raw_u16_w,local_x,local_y,local_z,pix_world_x,pix_world_y,pix_world_z,pix_uv_u,pix_uv_v,pix_normal_x,pix_normal_y,pix_normal_z,pix_tangent_x,pix_tangent_y,pix_tangent_z,pix_tangent_w,pix_texcoord4,raw_hex_0_7,raw_hex_8_39
0,17118,13244,14761,0,23326,-0.117365068,1.751676229,-3.642210007,-11.290100000,-10.917300000,27.840900000,0.474854000,0.944336000,-0.073364300,0.907715000,0.412842000,0.857910000,0.267090000,-0.439209000,0.655762000,196728,bc33a93900001e5b,8cff77cf6ba8e10900000000ff00000000000000ffffffff483c1a36d30d6bb8
1,17119,11553,13246,15160,23170,-0.195867729,1.659332940,-1.957102926,-11.296900000,-10.947600000,27.911000000,0.487549000,0.935547000,0.547852000,0.834961000,0.051178000,0.527832000,-0.305908000,-0.792480000,-0.053100600,196728,212dbe33383b825a,a16596fe69b0a10693ace105a62c180c06030000fffffffffa0961391432e995
2,17120,12396,12508,20574,22701,-0.156732458,1.614349873,-1.355310728,-11.228000000,-11.026700000,27.788900000,0.455811000,0.928711000,0.821777000,0.538574000,-0.184937000,0.494141000,-0.835449000,-0.240601000,-0.324707000,196728,6c30dc305e50ad58,c96432d7c120b00bbcc4220c784c1a100f020000ffffffffca05bd3f454399a9
3,17121,11758,14495,20669,22441,-0.186350848,1.735462820,-1.344751020,-11.259100000,-10.869300000,27.838900000,0.474365000,0.952637000,-0.628906000,0.500977000,0.595215000,0.595215000,0.802246000,-0.048522900,0.955078000,196728,ee2d9f38bd50a957,d88084860830000000000000ff00000000000000ffffffff8f2bd833361d48eb
4,17122,12989,13856,18969,22976,-0.129203139,1.696514067,-1.533714215,-11.299100000,-10.883800000,27.877800000,0.483643000,0.944824000,0.030761700,0.870117000,0.491943000,0.845215000,0.241211000,-0.476074000,0.620605000,196728,bd322036194ac059,f84846faa188620aa7b8420c574f371b03030000ffffffffd52a7535d71c1f7f
5,17123,12952,13771,19031,22979,-0.130920820,1.691333090,-1.526822616,-11.265300000,-10.985800000,27.765000000,0.456299000,0.937500000,0.791016000,0.569336000,-0.223267000,0.520508000,-0.819336000,-0.239502000,-0.295410000,196728,9832cb35574ac359,4ca2a886a388020aa4d8f2097240281f04030000ffffffff1f2bf634a11c2182
6,17124,12918,13778,19006,22982,-0.132499230,1.691759759,-1.529601486,-11.246500000,-10.891300000,27.793000000,0.464844000,0.954102000,-0.575195000,0.529297000,0.624023000,0.463379000,0.838867000,-0.285889000,0.838867000,196728,7632d2353e4ac659,7f41b78fa388020aa4d8120a7a44201c04020000ffffffff7d2be435511d2778
7,17125,12991,13789,18975,22972,-0.129110292,1.692430238,-1.533047286,-11.244300000,-10.888900000,27.758200000,0.458008000,0.955566000,-0.516602000,0.576172000,0.633301000,0.445312000,0.812012000,-0.377686000,0.786621000,196728,bf32dd351f4abc59,89827981a280320aa17c420ab41a130e0a060000ffffffff6252b530171e7cd8
8,17126,14742,14569,19204,22969,-0.047822202,1.739973318,-1.507592832,-11.231300000,-10.887400000,27.723600000,0.450684000,0.958008000,-0.637695000,0.580566000,0.506348000,0.478027000,0.812988000,-0.332275000,0.819824000,196728,9639e938044bb959,b568de638f9041098920e2086451271909020000ffffffffc4538e33d71f78cb
9,17127,14735,14510,19323,22943,-0.048147169,1.736377110,-1.494365408,-11.301200000,-10.819200000,27.910500000,0.492432000,0.948730000,-0.027999900,0.868652000,0.494141000,0.715332000,0.361816000,-0.597656000,0.592773000,131192,8f39ae387b4b9f59,fbe48e6a8f2472079464a20971670d0c09050000ffffffffd9525936ac1dc8ec
