local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,2463,48685,-0.040460525,2.098210890,-0.573124829,-0.322624389,2.317119159,-0.284386312,0.459246348,c53a613a9d454cd929eadb3b2188f0011b0000009569010000000000ffffffffe860ba51774aa02f,2b2013557d55474a2138b1390000003c3405453a043430000e3c0001c13b020100000000ffffffff
1,2464,48686,-0.038513138,2.085782385,-0.443746670,-0.346531665,2.291845729,-0.384919039,0.375230869,f43add38ba4cead64ef6de2e1f84d00122400000bf2f120000000000ffffffff6508de392722df74,ea1dfe51f64f7c372f3859390000003c8142b47a043430000e3c1001dc120b0401000000ffffffff
2,2465,48687,-0.021566733,2.078991552,-0.372059376,-0.381750356,2.273811583,-0.371704137,0.409496292,8d3c0938ab5087530736a7000e101001032c20017848201e01000000ffffffff882aed2440373e33,981acb4fb050d33d4f3864390000003c56c68173043430000e3c1001dd120b0501000000ffffffff
3,2466,48688,-0.015310236,2.095552215,-0.457316812,-0.440503419,2.196485776,-0.292272625,0.467136394,243d0e3afb4b5ec373c2d7001e40d000235cd0018b5d160000000000ffffffff5b167b3d443bab57,0e155d460e55e74aa438a7390000003cfbddf1330434e000033c1001d91f040300000000ffffffff
4,2467,48689,-0.017174755,2.103592305,-0.427334614,-0.422479736,2.215384793,-0.381082455,0.422976300,f73c093ba14dd9cf996f83191e740001237c70016a632e0201010000ffffffff261b8536573b5f56,c116ab482c507c438c384e390000003c8312147b040cd0000e3c1001d90f0b0903000000ffffffff
5,2468,48690,-0.016594682,2.102214919,-0.434581496,-0.006816316,2.256514178,-1.449144985,1.026276255,053dde3a3b4d3acfcbafe6181d7800011f8c70016963320101000000ffffffffde1faa31ea3a5f54,f13daf4d7315ec22ea39a2350000003c3ba839200320a000091c0000fb03010000000000ffffffff
6,2469,48691,-0.016014610,2.100997694,-0.444883436,-0.052352012,2.259877562,-1.448008220,1.016278776,133db83aaa4c1fceaf0ba7121e7400011f343002675e390000000000ffffffffbb211f2da33a3751,a639184e8315b0da0c3ac3350000003c46e4441c0320a000091c0000f208040200000000ffffffff
7,2470,48692,-0.015724573,2.099876566,-0.450140978,-0.078579578,2.228133621,-1.642039935,1.200426486,1a3d953a604c4bcdb05377111e7400010d7c300279453f0100000000ffffffff77145131da28d645,2d37394ad80aeeca8a3a86360000003c3124916a0320a0000724c000ef0d030000000000ffffffff
8,2471,48693,-0.018707804,2.085269869,-0.481615181,-0.053263555,2.232714230,-1.677208627,1.205146309,d23ccd38a54ac14cd191601404344002034400019c62000000000000ffffffff36241f29393a9355,9039c84ae9080acbae3a90360000003c4214b36e0320a00007309000df1b030200000000ffffffff
9,2472,48694,-0.015475971,2.098723406,-0.454332802,-0.092128416,2.223809269,-1.596569302,1.151618988,203d713a254c5ccc7167180b1e40d0010d8cf0018554230301000000ffffffff995e2b4e034e1634,e635b249580dfcc96c3a75360000003c235c30670320a0000724c000ef0c030000000000ffffffff
10,2473,48695,-0.039880452,2.089017640,-0.450851456,-0.085623316,2.268366103,-1.582146586,1.146336317,d33a4239564ce8d74e129f2e1f84d00122000000916d010000000000ffffffff5c613f53c3489030,8336214f230e90c9793a27360000003c298810680320a0000724c000f805010000000000ffffffff
11,2474,48696,-0.037891632,2.084244837,-0.442823048,-0.079532555,2.273651421,-1.475858982,1.051081377,033bad38c74c6cd64f0e3f2e1f74100210000000c12b130000000000ffffffff7d54fb44cc5e5238,1637c64ffb1300cf353ad5350000003c420cb11f0320a000091c0000f209030100000000ffffffff
12,2475,48697,-0.044603900,2.104585304,-0.499021908,-0.080651266,2.242900479,-1.478345657,0.989699705,613a283bb04953da52a22f29226c10021a000000af4a050000000000ffffffff8f5a0157c748282c,fb36064cd8135cd1293a09360000003c5640d11e0320a000091c0000f00a040100000000ffffffff
13,2476,48698,-0.036565752,2.084533128,-0.463711120,-0.094200103,2.266572298,-1.524810960,1.078143242,233bb638a14b6ad6083a4d371f74100210000000c826110000000000ffffffffd4473a4c025d4637,b435e94e4a1122c8543a0b360000003c281070230320a000091c0000eb0d060100000000ffffffff
14,2477,48699,-0.041703537,2.103239951,-0.591526226,-0.094448706,2.200842160,-1.517066743,0.932166022,a73afe3a9a4414da2f1e6c7b226c100200000000b92e180000000000ffffffffbb4b1935e44f4c42,ae35e546b7119ece333a71360000003c4058c0230320a000091cc000df14090201000000ffffffff
15,2478,48700,-0.047007058,2.090106736,-0.551242087,-0.098384913,2.225667139,-1.550814478,1.010030332,273a6439d14639d820be4c06217c20021d000000ae4e030000000000ffffffffd83fc74ed355b42c,4f35ec49dc0f93c7533a5f360000003c1e1020640320a000091cc000e113090200000000ffffffff
16,2479,48701,-0.038388837,2.096993666,-1.410992283,-0.080154061,2.216121534,-1.480192902,0.143960094,f73a3b3a8c170dd9c2fdb73f2188f0011b000000ab50040000000000ffffffffd83fd74e8f57ae30,0737c248be13c8d21e3a2e360000003c5a5cf11e0320a000091c0000ea0b060300000000ffffffff
17,2480,48702,-0.038968909,2.098563245,-1.321045688,-0.016884719,2.532984366,-1.326516373,0.435016495,e93a6c3a7e1c4ed90402f87f2188f0011b000000946a010000000000ffffffff9765144b6541823d,fe3c666f311c48f1c13ac8320000003c359984170300000000000000ff00000000000000ffffffff
18,2481,48703,-0.039756151,2.074507039,-0.432947395,-0.005117532,2.494994140,-1.344349387,1.004322073,d63a7d37524d68d44dce7f191d7c0001215c0000ca2d080000000000ffffffff7c56023e2b5ba33d,1a3ec46a361bb0df913a5a330000003c6c5419100300000000000000ff00000000000000ffffffff
