local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,450,46672,-0.028485332,0.972498680,-1.064740373,-0.162123374,0.910296227,-0.842272088,0.266871522,373c3d3963491157aff45a530200000000000000ff00000000000000fffffeff0b4f041e8367a819,942ade2acc54af5c2d3c4b399f49de56750dc9be020c0000000000008877000000000000fffffdff
1,451,46673,-0.028692523,0.972819921,-1.055524809,-0.172719702,0.906052460,-0.830923996,0.275040446,303c5039dc49dc5683f38c270210300000000000e813040000000000ffffffff6c50b01ed165414d,2e29e32961557351303c5039dc49dc56bd8f30a4020c0000000000008877000000000000fffffdff
2,452,46674,-0.028633326,0.972650847,-1.058723600,-0.157298789,0.906221535,-0.804572053,0.292507545,323c4639b249fa56aa310c460210300000000000e813040000000000ffffffff304f6021b565c423,372bed29bb5672c22d3c5339b249cb56fe931922020c0000000000008877000000000000fffffdff
3,453,46675,-0.028722122,0.972583217,-1.065806637,-0.162123374,0.910296227,-0.842272088,0.267662582,2f3c42395549f256707882330210300000000000e813040000000000ffffffff9f4e051cf466514a,942ade2acc54e77d313c52399f49de56a50dc9be020c0000000000008877000000000000fffffdff
4,454,46676,-0.028722122,0.972786106,-1.056819558,-0.155049289,0.907946093,-0.845775525,0.254366594,2f3c4e39cb49e056c9b168400210300000000000e813040000000000ffffffffb34f3e26f864be34,832b532a9e541e462e3c4b398949e05683cc4fa6020c0000000000008877000000000000fffffdff
5,455,46677,-0.028692523,0.972431050,-1.071290278,-0.131222352,0.984063365,-0.971975439,0.143217016,303c39390d49fe56169cc1280210300000000000e813040000000000ffffffff454ea82d97628f67,a82ee93b254e481a373c2b3941481e577ca09ccb020c0000000000008877000000000000fffffcff
6,456,46678,-0.028485332,0.972194346,-1.086827262,-0.157979559,0.924650639,-0.880429092,0.248252620,373c2b3941481e5790bc654d0210300000000000e813040000000000ffffffff304f6021b56598ed,202b2f2ed7523f552f3c42395549f256bc0c8bb8020c0000000000008877000000000000fffffdff
7,457,46679,-0.028514931,0.972786106,-1.065806637,-0.157979559,0.924650639,-0.880429092,0.231177306,363c4e395549f256ac7882330210300000000000e813040000000000ffffffffa250c0206c660810,202b2f2ed752b775363c4e395549f256f50c8bb8020c0000000000008877000000000000fffffdff
8,458,46680,-0.028574128,0.972718476,-1.058114306,-0.178165859,0.919274075,-0.871061205,0.245403449,343c4a39ba49f156ee261d2b0210300000000000e813040000000000ffffffff974e88205b65d350,7628f12c52537759343c4a39ba49f1564fabe0a8020c0000000000008877000000000000fffffdff
9,459,46681,-0.028692523,0.972600124,-1.067710679,-0.161353808,0.895045720,-0.839301782,0.275289532,303c43393c49f6562d2021540210300000000000e813040000000000fffffffff14e5e250e648f5e,ae2a5827f354301d2f3c4e39cb49e056d12559c0020c0000000000008877000000000000fffffdff
10,460,46682,-0.028603727,0.972431050,-1.074946039,-0.148211994,0.918834481,-0.886065057,0.229901620,333c3939dd480a574e40124f0210300000000000e813040000000000ffffffffb34f3e26f86460e3,6a2cd72c8d52c632303c43393c49f6563cd0cf99020c0000000000008877000000000000fffffdff
11,461,46683,-0.028396536,0.972701569,-1.071290278,-0.159104309,0.950704996,-0.907390329,0.210787960,3a3c49390d49fe56a19cc1280210300000000000e813040000000000ffffffff0f4f432b9c64353a,fa2a34347551ef4a303c39390d49fe564ebc8bb0020c0000000000008877000000000000fffffcff
12,462,46684,-0.028662924,0.972278883,-1.078449477,-0.154486914,0.979058765,-0.921556403,0.201228924,313c3039af480157088411250210300000000000e813040000000000ffffffffe351922448645f52,962bc13abb50cd49313c3039af4801573dd4cbae020c0000000000008877000000000000fffffcff
13,463,46685,-0.028485332,0.972498680,-1.064740373,-0.182487266,0.951956146,-0.904953155,0.222868899,373c3d396349115753714d4d0210300000000000e813040000000000ffffffff07522c2ee962c75c,e4277e3495513765393c43396d490357a17e61a7020c0000000000008877000000000000fffffdff
14,464,46686,-0.028337339,0.972278883,-1.074641392,-0.167569531,0.904277180,-0.881876164,0.247322195,3c3c3039e148265700d1dc510210300000000000e813040000000000ffffffffeb52652eb1643029,dc297a29c452201a323c4639b249fa56c52d66c2020c0000000000008877000000000000fffffdff
15,465,46687,-0.028278142,0.972431050,-1.067482194,-0.154486914,0.979058765,-0.921556403,0.193046412,3e3c39393f491357cd69bf220210300000000000e813040000000000ffffffff0f4f432b9c6430e2,962bc13abb50c98a3e3c4739af480157fbd4cbae020c0000000000008877000000000000fffffcff
16,466,46688,-0.028278142,0.972667754,-1.078449477,-0.159104309,0.950704996,-0.907390329,0.216469583,3e3c4739af480157cd8411250210300000000000e813040000000000ffffffffbe5136277b652008,fa2a34347551398c3a3c49390d49fe56d9bc8bb0020c0000000000008877000000000000fffffcff
17,467,46689,-0.028426135,0.972600124,-1.063978756,-0.142588245,0.942099112,-0.925364487,0.182146135,393c43396d49035711dacb260210300000000000e813040000000000ffffffff1360f123fe62a77b,282d373289500428333c3939dd480a57383cefd2020c0000000000008877000000000000fffffcff
18,468,46690,-0.028722122,0.972786106,-1.056819558,-0.169789432,0.932343522,-0.924907517,0.197323022,2f3c4e39cb49e0563bd248000210300000000000da13120000000000ffffffffc65f3d26e762800e,9129f62f8f50b81b373c3d39634911577dcd24c8020c0000000000008877000000000000fffffcff
19,469,46691,-0.028662924,0.972853736,-1.060170672,-0.191899646,0.987292685,-0.939530561,0.203491393,313c52399f49de563069353d0210300000000000da13120000000000ffffffffc65f3d26e762e83b,a626a83ccf4f243b3e3c39393f491357761220dc020c0000000000008877000000000000fffffcff
20,470,46692,-0.028781319,0.972735384,-1.060170672,-0.167303143,0.980715693,-0.972584733,0.164083143,2d3c4b399f49de567069353d0210300000000000da13120000000000ffffffffc760392630646801,e529233b1d4e38173c3c3039e148265730b9b5ca020c0000000000008877000000000000fffffcff
21,471,46693,-0.028781319,0.972870643,-1.058723600,0.172282516,0.905883386,-0.831533290,0.310691801,2d3c5339b249cb562a9e59a40210300000000000da13120000000000fffffffff9605f26fd62b829,b656d9295955382f303c5039dc49dc56be7bff23020c0000000000008877000000000000fffffdff
22,472,46694,-0.028692523,0.972819921,-1.055524809,0.161449399,0.910177875,-0.842652896,0.292219828,303c5039dc49dc56a42bdf6d0210300000000000da13120000000000ffffffff2a5f9125e262394f,4855d72ac75478242d3c4b399f49de567501c73e020c0000000000008877000000000000fffffdff
23,473,46695,-0.028751720,0.972735384,-1.061846229,0.161449399,0.910177875,-0.842652896,0.296876447,2e3c4b398949e05672a880200210300000000000da13120000000000ffffffff035df8262d612b5c,4855d72ac7543802313c52399f49de56a701c73e020c0000000000008877000000000000fffffdff
24,474,46696,-0.028692523,0.972600124,-1.067710679,0.156979998,0.906035553,-0.805257508,0.328308992,303c43393c49f6563f3031150210300000000000da13120000000000ffffffffe65d332840617242,b154e229b256e3bc2d3c5339b249cb56fe7f16a2020c0000000000008877000000000000fffffdff
25,475,46697,-0.028722122,0.972583217,-1.065806637,0.154197722,0.907844649,-0.846080172,0.293138996,2f3c42395549f256ab70f4340210300000000000da13120000000000ffffffff635c2b2c41604f44,53544d2a9a54a1392e3c4b398949e0567c348026020c0000000000008877000000000000fffffdff
26,476,46698,-0.028692523,0.972431050,-1.071290278,0.166451576,0.904209550,-0.882028488,0.280277394,303c39390d49fe565dd825310210300000000000da13120000000000ffffffff36575431d95dc988,f1557629c252a767323c4639b249fa56c7b95942020c0000000000008877000000000000fffffdff
27,477,46699,-0.028485332,0.972194346,-1.086827262,0.157009597,0.924583009,-0.880657577,0.281391448,373c2b3941481e570511e4470210300000000000da13120000000000ffffffff945e70254561777b,b2542b2ed452400a363c4e395549f256f808a538020c0000000000008877000000000000fffffdff
28,478,46700,-0.028633326,0.972650847,-1.058723600,0.157009597,0.924583009,-0.880657577,0.261689358,323c4639b249fa563ff2c9420210300000000000da13120000000000ffffffff9d5f20288f617827,b2542b2ed4523c2b2f3c42395549f256bd08a538020c0000000000008877000000000000fffffdff
29,479,46701,-0.028574128,0.972718476,-1.058114306,0.160443044,0.894961183,-0.839606429,0.299197896,343c4a39ba49f1563ea3ce710210300000000000da13120000000000ffffffffe65d33284061e015,26555327ef541f662f3c4e39cb49e056cabd6640020c0000000000008877000000000000fffffdff
30,480,46702,-0.028514931,0.972786106,-1.065806637,0.177462285,0.919155722,-0.871442013,0.288236775,363c4e395549f2569970f4340210300000000000da13120000000000ffffffff645a512acb5fd99c,6557ea2c4d534827343c4a39ba49f156515f9f28020c0000000000008877000000000000fffffdff
31,481,46703,-0.028603727,0.972431050,-1.074946039,0.147064441,0.918800666,-0.886217381,0.263351532,333c3939dd480a575598a10e0210300000000000da13120000000000ffffffff635c2b2c41608812,6253d52c8b521d4d303c43393c49f6563c2ce019020c0000000000008877000000000000fffffdff
32,482,46704,-0.028396536,0.972701569,-1.071290278,0.158134347,0.950637366,-0.907694976,0.249086375,3a3c49390d49fe56a8d825310210300000000000da13120000000000fffffffff25a9330cb5f7a3e,d85430347151ae34303c39390d49fe565160f430020c0000000000008877000000000000fffffdff
33,483,46705,-0.028662924,0.972278883,-1.078449477,0.130015601,0.984046458,-0.972127763,0.191367858,313c3039af4801573cd8a52e0210300000000000da13120000000000ffffffff51749f47176bb4c6,2251e83b234ec765373c2b3941481e577c58934b020c0000000000008877000000000000fffffcff
34,484,46706,-0.029136503,0.971568771,-1.021023565,0.153516953,0.978974227,-0.922470343,0.207677306,213c0639a14b2c56cce5902e020c400000000000954b1e0000000000fffffffff55cf0336c5eb35f,3c54bc3aaf50a0f53e3c4739af480157fc40542f020c0000000000008877000000000000fffffcff
35,485,46707,-0.028278142,0.972431050,-1.067482194,0.166037195,0.980698786,-0.973041703,0.216207797,3e3c39393f49135793e28e5e0210300000000000da13120000000000ffffffff06742747686cc779,e355223b174e97693c3c3039e1482657332d8a4a020c0000000000008877000000000000fffffcff
36,486,46708,-0.029195701,0.971450419,-1.022089829,0.158134347,0.950637366,-0.907694976,0.220481093,1f3cff38934b195631b5f69f020c400000000000954b1e0000000000fffffffff25a9330cb5f980f,d8543034715140f43a3c49390d49fe56dc60f430020c0000000000008877000000000000fffffdff
37,487,46709,-0.028278142,0.972667754,-1.078449477,0.141351895,0.942082204,-0.925440649,0.230481076,3e3c4739af480157b6d8b52e0210300000000000da13120000000000ffffffff935cb229535fe779,a152363288506f57333c3939dd480a5738b81053020c0000000000008877000000000000fffffcff
38,488,46710,-0.028485332,0.972498680,-1.064740373,0.153516953,0.978974227,-0.922470343,0.231100684,373c3d3963491157004a5a480210300000000000da13120000000000ffffffff40742549a8697acf,3c54bc3aaf50ac35313c3039af4801574140542f020c0000000000008877000000000000fffffcff
39,489,46711,-0.029106905,0.971720938,-1.020947403,0.191107277,0.987174333,-0.941510765,0.234613028,223c0f39a24b4156413a712e020c400000000000954b1e0000000000ffffffff51749f47176ba1ac,3259a13cb54f20473e3c39393f49135781e28f5b020c0000000000008877000000000000fffffdff
