local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,5770,51992,1.185337364,1.318519501,2.734089901,0.436340708,1.172195455,-0.479211471,3.302682610,18b801267b4eb0cb26d7e02c20d0700100000000f609000000000000ffffffffc656841e926bfc34,1c6ca71bd8221031c83d3e382e4e5e530f323f14021030000d5030017646440000000000ffffffff
1,5771,51993,1.121188257,1.599792968,2.674834679,0.405421301,1.359435017,-0.159635978,2.933311813,96b1e739ad4d35ca504a706520d0300300000000a25d000000000000ffffffffa25336063a5ed1c0,f968e6282f27a232e53da638224e6451ce7d3f1604342000034c4001e417020200000000ffffffff
2,5772,51994,1.147795120,1.562080016,2.662753518,0.315781973,1.232105489,0.156775400,2.661025252,49b43c37834d0a4a3a3ae23531c8b00333d00000da1f050000000000ffffffff3f2d2302e453a81c,e15fe41f7b2b0a35bf3d0b39cd4cda4f7c1d8f110d10700118402000bc41010100000000ffffffff
3,5773,51995,1.222725589,1.569258176,2.671382919,0.359831540,1.365011896,0.128010729,2.693519033,e3bbbe37a14df34d9d7bd1d02f00000000000000ff00000000000000ffffffff545e261ac2643db0,59644b29172bbf39df3dfa387e4d0a50ae951f160d10800117403001b842030200000000ffffffff
4,5774,51996,1.147795120,1.270204957,2.824123321,0.342735379,1.265511545,-0.008621457,2.944925498,49b49622b44f26c4343b654a20d0300300000000c23d000000000000ffffffff5d61251a36649cbb,9d6241223c29a033cc3ddc384c4da5509f3def1204342000035c80018c72000000000000ffffffff
5,5775,51997,1.151645606,1.311672640,2.862380333,0.276622524,1.159716499,0.177485963,2.827969915,adb485253950bcc337b3ba4720d0300300000000c738000000000000ffffffff50533a041762f0d5,e85bc51ac32b5035ac3d17392e4ca74fc9a16e0e0d10700118402000bf3f000000000000ffffffff
6,5776,51998,1.150028402,1.557276170,2.655274703,0.129995994,1.818064270,5.828017889,3.342869407,83b4e536694df5463f8e802231c8b00333d060037c65170601000000ffffffff3d5b9c1989676011,084d58497f7814280d28d5373646ffdc5dc23b3c1968b00100000000e914030000000000ffffffff
7,5777,51999,1.112024099,1.595817371,2.770333386,0.225873110,1.815248223,5.671538080,3.041447377,a8b09f39f94e58c63bce425220d0300300000000936c000000000000ffffffff115529077962d1c4,c25625495f76480f10305b3b944adedc1d17bd371968b00100000000ce2e030000000000ffffffff
8,5778,52000,1.145715857,1.556834437,2.679149380,0.418705480,1.112782371,-0.541343160,3.331260801,13b4dd36bc4d32472d8a813232c4b00333d060037d3a380d03000000ffffffff2f5eee17bf678803,526a731700220f40bd3d2a38c64dd153da89be4d020c40000d0000009347240000000000ffffffff
9,5779,52001,1.106864447,1.594105656,2.817795093,0.134231529,0.902020529,-0.541918453,3.565483379,22b080399e4f30c6f699b55434803003000000009966000000000000fffffffff4587621156b43b6,764d8a08fe212a367d3d3a381f46f153ebb1ea01021030000d000000c2310c0000000000ffffffff
10,5780,52002,1.187416627,1.226804693,2.711653458,0.259641878,0.964028794,-0.591393687,3.440921039,4eb8841f2d4ec1ca0a73602a20d0000000000000de21000000000000ffffffff0e549f01e76178e1,2f5aed0c52218b3b963d1f38a34a245496b17c46020c40000d000000ce1d140000000000ffffffff
11,5781,52003,1.153609354,1.556779220,2.675122326,0.503801234,1.320396866,-0.595133094,3.342558559,e0b4dc36ae4d69461d82320c31c8b00333d060038c5d0f0601000000ffffffff2155680101647cde,f47223264521f843e93d1238bb4fd55379b9ef58030840001350c0016d513f0201000000ffffffff
12,5782,52004,1.153570849,1.554239255,2.685765254,0.281397127,0.962869245,-0.512866135,3.367736370,dfb4ae36d34db044135e520c32c4b00333d0600366582a1402000000fffffffff4587621156bfdb3,645cd80c6322b2379a3d3938094bc853ca7d9c45021030000d000000b32a230000000000ffffffff
13,5783,52005,1.114372896,1.225755578,2.711653458,0.044014628,0.860055897,-0.552273734,3.454363009,e5b0711f2d4ec1ca3b73602a20d0000000000000de21000000000000ffffffff20650424136e91c1,4f449205da21973a6d3d3b3825400754c3b90a42021030000d000000d821070000000000ffffffff
14,5784,52006,1.173439360,1.266339794,2.883953836,0.211087242,0.924604127,-0.537603752,3.570708781,e3b650228450a7cc3af7be2c20d0000000000000db24000000000000fffffffff4587621156b1d43,4255230a0d22fc328c3d36382849ec53f1652b03021030000d000000b734140000000000ffffffff
15,5785,52007,1.127926609,1.599682534,2.711653458,0.041973870,0.867841441,-0.616131304,3.576176192,45b2e5392d4ec1ca1872602a20d0000000000000de21000000000000ffffffffad5f732618713181,1a441f06fc2040376d3d2738d03f3954afe96a420210300000000000f209040000000000ffffffff
16,5786,52008,1.129890357,1.578755435,2.820959207,0.000003566,1.267444126,1.359426285,1.873402619,78b26a38a94f75cd3d62a73e20d0000000000000d22d000000000000ffffffff335db01922774f76,d83f6422d03bff3f683d8f3a0000abcd1d0378051074d0001778f001ba3d050101000000ffffffff
