local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,19854,66076,-0.065323978,1.786541155,-1.556945572,0.046650249,1.126911401,-3.220043998,1.792636609,1d38e53b4849c55958ff6b31a2b8120aaf98020acf2b020200000000ffffffffe02d6a33ff1cc193,89419f11d60e301d99378e3b5541805a63afe9742518000000000000a45b000000000000fffffcff
1,19855,66077,-0.065277554,1.786297344,-1.556056334,0.029984102,1.095033157,-3.238273389,1.821201576,1e38e13b5049c459991e6d25a2b8120aaf98020ac0350a0000000000fffffffff32d3833f01c11a2,2240940f320e16cecd377c3bd93e885aef473a5e2518000000000000b44b000000000000fffffcff
2,19856,66078,-0.065138283,1.786358297,-1.556723263,0.092841939,1.104054151,-3.177916321,1.766002160,2138e23b4a49c5598462fe0ea2b8120aaf98020abc380a0000000000fffffffff52d4c33f81cc198,6c4528105110deba4b376e3b4e456c5ac38bae5525180000000000008d72000000000000fffffdff
3,19857,66079,-0.065184707,1.786297344,-1.556834417,0.032258868,1.132579999,-3.202370382,1.773310528,2038e13b4949c459b246ae1aa2b8120aaf98020abd38090000000000ffffffffc82b6735771e88c8,5340fc11750fc81c97379f3b5f3f785a2966767e06940000000000008f70000000000000fffffcff
4,19858,66080,-0.066298878,1.785078291,-1.535937311,0.026688011,1.121608519,-3.231715254,1.823321566,0838cd3b054aae591f94ee16a188020a9f98720ab940040101000000fffffefff32ba535511e62ca,db3f48116d0ec424bd378f3b1b3e855a82abc9732518000000000000ab54000000000000fffffcff
5,19859,66081,-0.066484573,1.784895433,-1.537493479,0.095813063,1.128252360,-3.192255293,1.787668121,0438ca3bf749b05908e0bf1aa188f209a098720a8176040400000000fffffffff42b7d363a1e5c3d,ac45b511d00f4bbe4d37803b7945735abf979e562518000000000000a35c000000000000fffffdff
6,19860,66082,-0.066252454,1.784285906,-1.537493479,0.052174682,1.143124810,-3.186808707,1.773514381,0938c03bf749b05910c18e2e9f88020aa198320a6246411600000000ffffffff992bc736d61d0e40,0042a9120110481e7037a23bf641715a49e6b47a0694000000000000956a000000000000fffffcff
7,19861,66083,-0.066020335,1.783859237,-1.534158834,0.063594939,1.156473444,-3.178583250,1.764807274,0e38b93b154ab5596e53ae6d9f80220aa18c620ae21a020100000000ffffffff603cbf3da000574b,f64284134b10c81e5437a53b45436d5a6fb6047906940000000000009867000000000000fffffcff
8,19862,66084,-0.116900830,1.755089579,-1.986447799,0.073901025,1.167688735,-3.164688897,1.330299660,c633e139303a1f5bdc27e0a46ba8010000000000ff00000000000000ffffffffc93cf63d100181a0,d4433c14c810f0163637aa3b3944675a38fe147a06940000000000009a65000000000000fffffcff
9,19863,66085,-0.118757782,1.755150531,-2.035578230,-0.000005679,1.123376146,-3.238384543,1.363812291,9e33e2397638195bbafb51af6ba8e10900000000ff00000000000000ffffffff6f2bf336e51d881d,9c3d6511310e8022e137973b0000885a6e03d8722518000000000000b24d000000000000fffffcff
