local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,8506,54728,1.744040671,1.418488091,0.970253574,-0.401391897,0.347705268,1.641390193,2.489956048,99ace33afb50cb4f58048b5e1734800120400000fc01010000000000ffffffff0a64212bc2331f63,1327e60e4275380310ad753a214e16cc6255b8a1269c800200000000f807000000000000ffffffff
1,8507,54729,1.756217078,1.417347039,0.964472275,-0.352372447,0.371857549,1.588780367,2.434945308,5badd73aab50b24f5a24385b1734800120400000fb03010000000000ffffffff821b0009de5e698c,202ae40f6a72fd4bddac393a744d36cac0cd3fe4269c300228000000fc03000000000000ffffffff
2,8508,54730,1.799587679,1.312370195,0.965917600,-0.337810972,0.266785618,1.626720146,2.469489847,0eb08736bf50b2483da537f72ab070022e98800279452e0d05010000ffffffff6b193b09cf6185a2,082b930b7774e814eeaa623a3d4dddca6395fda0269c800200000000f50a000000000000ffffffff
3,8509,54731,1.800591919,1.303051598,0.968808250,-0.358021296,0.429956146,1.581264677,2.407697978,1eb02536e750d54524d6d1f02a9cc00226a4e0026e69130e05020000ffffffffbe2e5201e85c09c2,c62947120272154bd7ad2e3a8b4d77cad0d98fe2269c300228000000fd02000000000000ffffffff
4,8510,54732,1.878985380,1.332243528,0.900083050,-0.328647285,0.266975793,1.599981635,2.549175427,ffb45837304daa490d96fecd2fb4800227980000eb14010000000000ffffffff67184007fd6017b2,9a2b950b05733f4782aa513a214ddcc98ef13fe1269c800200000000f50a000000000000ffffffff
5,8511,54733,1.781574130,1.303907388,0.972855159,-0.358021296,0.369480356,1.621950573,2.423292661,efae2e361f511c475cdab0ed2ab0700229b86002783b380808040000ffffffff952e5604cb5c1aca,c629cb0f3574081911ad533a7d4d6fcb8df92da5269c300228000000fb04000000000000ffffffff
6,8512,54734,1.872583352,1.332528792,0.897698264,-0.638015874,0.277720705,1.419460554,2.772717883,99b45b370f4d0b4be9855fe92fb4800227980000ee10010000000000ffffffff8e2e6404f65d77b4,5918060c4369318c3ca51b39e65016be24b693ef269c90022aacc0028872030200000000ffffffff
7,8513,54735,1.872206762,1.330341774,0.898348661,-0.419782036,0.598451588,1.628237737,2.514281997,93b44437184de549238abfa82fb4800227980000e11b020000000000ffffffffe5510b30b04f9765,ee2533198c74680d7ab05a3a534ed5ccbec90ca1268c700200000000fa05000000000000ffffffff
8,8514,54736,1.978907229,1.261022826,0.905719818,-0.366933923,0.495756849,1.611977832,2.566593678,37bb6b347e4d424479a4a10c174000020d000000c617140e00000000ffffffffa254992e5a488f52,3829fb14ab73301b1daf413aa14d1accd97d3ea2269c300200000000fd01010000000000ffffffff
9,8515,54737,1.972567966,1.263780370,0.912440578,-0.421790516,0.498609481,1.632356913,2.614711945,d2ba8834db4dd34927a800551734000210000000d216110600000000ffffffff0753752f7b4fff6a,ce251915c574f80566af673a574e6ccc9a019ba0269c300200000000fd02010000000000ffffffff
10,8516,54738,1.978154049,1.265016510,0.911356585,-0.430514848,0.338481759,1.633224108,2.679784548,2bbb9534cc4df3449f40c209178000010d000000c61b120c00000000ffffffffb2529430a756f76b,4325850ed17490fc1aad893a944eeccb6449679d269c800200000000f40b000000000000ffffffff
11,8517,54739,1.983928428,1.267013352,0.910489390,-0.389089961,0.244820354,1.642546453,2.685517146,87bbaa34c04d60c0a154120e178000010d740000c420170500000000ffffffff5520db0409643a3d,d727ac0a5275e0fb01ab813a074e6ecb72b51699269c800200000000ea15000000000000ffffffff
