local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
0,13130,59352,0.145792066,1.406944119,0.224915180,-5.404528908,1.665291921,3.509761668,6.454689996,2b41d825e23bab3afbcd07404a2cc1044d380100a15d000000000000ffffffffba6e4d5c7742a00f,a1146d4ce37dada23140c72c89245f2aeb8afdc83cf4e0033f000000d620050500000000ffffffff
1,13131,59353,0.102954998,1.480888559,0.189533629,-5.445905621,1.698170648,3.510150476,6.470205709,d340e3302c3ba139000208004a30d1044e0000008664140100000000ffffffff4f661c6ae14b2196,4c145651e57d20d92640082c2528092b10b5b1b33cf4e0033f000000d520050500000000ffffffff
2,13132,59354,0.094192870,1.542696381,0.105162239,-3.777693906,1.743813750,0.315507502,3.882808331,c1401e3a7a39e0316132573f4d3001055128f104ab27210705000000ffffffff7d79ed520f40281a,af212758b43dff675f405f35143a43385302798040fc1004120831047e591e0504010000ffffffff
3,13133,59355,0.149199560,1.379950605,0.228220050,-5.458075243,1.664350287,3.526091614,6.511403131,3241d021f33bc03ac5c0cb464b28c1044d3801008877000000000000ffffffff437859601d3e91ad,3314494c377e91ad2b40c42b9426632bb395d0d63cf4f0033e000000d620050400000000ffffffff
4,13134,59356,0.162342751,1.554100617,0.021762870,-4.299040491,1.719749765,-0.428477082,4.487103307,4d41d23bcd37eb2450702b714a2ce1044d300100d628000000000000ffffffff8a2eab54262a78e9,801d8f54c12e477247406033cc3a0338f28d68c03f08010443f84004875c1a0200000000ffffffff
5,13135,59357,0.002677317,1.547038361,0.226664817,-3.150228221,1.641201780,-0.020034017,3.163943804,0540c43aeb3b763187707bdb4338200140000000f10b030000000000ffffffffa12b8c6c9b2e74da,b826d448f636176e38401c36c0398f37be1147c0400c11040e48f003844d1c1002000000ffffffff
6,13136,59358,0.014360153,1.546593700,0.211501295,-3.445219847,1.701387899,-0.880272266,3.631063829,1d40b33a9d3b4f31c64ac6ba4300e10012040100b928140902000000ffffffff65034a63ed4ab0eb,5a24d151ad25c77c0940dc34553a3d36d4fd19d4440ce1003f005104c636010100000000ffffffff
7,13137,59359,0.202259109,1.553158983,-0.074661575,-3.209129190,1.721292999,-0.459776146,3.437172152,9f41ae3bdd350b273e3d75fd46f8d00300000000ee11000000000000ffffffffc51e89661c2b00ca,3f26ca54202e6f761f407735073adb3639ea48804300e10044081104915f080302010000ffffffff
8,13138,59360,0.049408663,1.551537280,0.173009279,-4.332628646,1.761678643,0.425540236,4.394335247,6540703bd73a622be5ad95fe42fc0004440c0100835f170500000000ffffffff5d2aa26d8f2cd8dd,3b1dd25aea3fdf6c7c40c6344d3a9e38529505c23f0011043d08e103af2c140808000000ffffffff
9,13139,59361,0.015333723,1.547483022,0.212084508,-2.593346342,1.682738310,0.173398087,2.612470538,1f40d53aa03bdf30637ac6bd4300e10012000000c822140100000000ffffffffce3c10569b21f0f3,302b084fd93a635535401d375239853726b23780410c21014038000045432d2c1f000000ffffffff
10,13140,59362,0.241688683,1.479345325,-0.021394845,-2.657115158,1.677297757,0.002128054,2.905650048,f041a830ef363537040bdadb033810010f2c9000a633180b02010000ffffffff132ee36de52eecdc,ad2a384e6837735f2d40b93679394f370f5e1880400c1104123800004b4a2d2418000000ffffffff
11,13141,59363,0.009005520,1.545939788,0.216555803,-4.280542666,1.771487333,0.282458801,4.295979346,12409a3ab73bc2313df6a8bf430021010e040100d4100f0c00000000fffffffff11ec667dc29b2c5,a61d495c0a3d9f707140aa345b3a7e388a0916c13f00110442f4e003af28141004000000ffffffff
12,13142,59364,0.047948309,1.551825001,0.175536532,-3.718306153,1.726445831,-0.388429832,3.812246472,62407b3be43ac92a46ddf3f942fc4004400c5104994b0f0c00000000ffffffffee31416f812c3431,29228f558f2f47782e40c6345a3a4e374926698040fc4004420c11047558230c01010000ffffffff
13,13143,59365,0.202745894,1.514342729,-0.080882507,-3.466638380,1.697987553,-0.414285581,3.689073594,a041e235bd35a23879ea76fe0e48300440000000eb13010000000000ffffffffb52f256fdc2ed02e,2e244f510a2f7f7526402b352c3a0d37d3c147c0400c41044238f0038250230703010000ffffffff
14,13144,59366,0.193496982,1.518004640,-0.099934112,-3.001758839,1.708554781,-0.475717284,3.222915157,8d416e365b35c638b4c597bf0e0c2101400401007462250301000000ffffffff21340c77232d6a32,e927e352ce2daf791b40c335e239bf36f72db7804300e10041484004b33f0a0200000000ffffffff
15,13145,59367,0.213941946,1.513636504,-0.060664479,-3.164344982,1.658622012,0.131017988,3.386825289,b741c73525369f38f245d7bf0e48000000000000f10e000000000000ffffffff0f2df5736e2c4cdd,9b266e4bff39af7542404836af39d03719a228c0400c11040e48f0038248230d05000000ffffffff
16,13146,59368,0.009492305,1.546776796,0.217527823,-4.988814638,1.682607528,-0.431393144,5.042084956,1340ba3abc3b5f31c90929ff4338000412000000e80f050300000000ffffffff99359379d22cbc31,f717034fb22e8f716d4024312f3b7f3861a2d88042fce0033d0c0104eb0b070200000000ffffffff
17,13147,59369,0.217836225,1.512616400,-0.052110697,-3.264135879,1.675885306,0.221027098,3.496482621,bf41a03551369338bc9da7bf0e48400000000000f40b000000000000ffffffffe3368d7a902cf433,ce25024ece3b27764a402636bf39023896dd4484400c11040efc2001953c210803020000ffffffff
18,13148,59370,0.221243719,1.511648609,-0.044528936,-3.204261341,1.782577691,0.906690444,3.565432062,c6417b35783687388b0518bf0e48400011000000f708000000000000ffffffff78369979492aa033,4926f15d954987787040f5366d3974380f3208804100f103120cc1036e551c100f000000ffffffff
19,13149,59371,0.219296579,1.510000750,-0.048028210,-5.237561701,1.746220149,2.238358695,5.921204859,c2413c3566367138493257ff0e48400011000000f708000000000000fffffffff8335873642b5831,f81583585764577017416e350c3a6c3a466689803df0f0033e0401009b3e121004000000ffffffff
20,13150,59372,0.211994807,1.512040957,-0.063580540,-5.333945103,1.694770303,2.221445536,6.001015220,b3418a3516368a3857bad6fe0e48300400000000f20d000000000000ffffffffcb799c51a0418010,3215d45000642f701a413d351e3a763a569eb9803df0e0033f0461049b3c180d03000000ffffffff
21,13151,59373,0.174512372,1.554806843,-0.007008940,-2.956001062,1.735286729,0.357887601,3.156871369,6641ed3b39375f20cffc7b464b28c1044d380100ab53010000000000ffffffff967717586d3cf139,4728e1568e3eff754b40093761390638778ae980400c11041238f0037234341311000000ffffffff
22,13152,59374,0.156988117,1.554571435,0.032649501,-6.569891863,1.716087854,0.025650953,6.728822393,4241e43b0538482205747c5b4a2ce1044d300100ea14000000000000ffffffff317f034afe51980c,470b0354e1379762f1401b28d53bfc39a4fce4c83e18d10342fc0000ed0a040301000000ffffffff
23,13153,59375,0.223677643,1.554205243,-0.124234627,-6.497360919,1.778706528,0.139571769,6.729959435,cb41d63bde346222140dab434b28c10400000000fe01000000000000fffffffff071d65073335426,dc0b5d5d2b3a776af340402bb23b013aed06fa833e18d10342fc0000db14070701000000ffffffff
24,13154,59376,0.122426392,1.554859156,0.074835196,-6.408766074,1.816999652,0.294511856,6.540141475,fb40ef3bde38641dc9ecaa464a38d1044b300100fc02010000000000ffffffff7d79ed520f40f013,920c1563483d1770f440322d8f3b043a203e18803ef4600442fc0000bf1a170907000000ffffffff
25,13155,59377,0.170618093,1.554806843,0.002516862,-3.161911058,1.649388766,0.252520566,3.343231691,5e41ed3b6a374320c8c0cb464b28c1044d3801008877000000000000ffffffff8862915805299ac1,a0260d4a703c477b4b406236a63903381dee8780400c11040efc2001873d1d0f09060000ffffffff
26,13156,59378,0.053789727,1.552452758,0.166788347,-4.968369674,1.720037487,0.804628279,5.065274866,6e40933bb73a082901f879614e34110552505105eb0f050100000000ffffffffe9799e551b41e426,21189a548847d776ae402c34883a3439e891c8c03ff4e0034108c1038f4e0c0a07050000ffffffff
27,13157,59379,0.174025587,1.554571435,-0.006036920,-5.038953478,1.679442591,0.949848159,5.301363959,6541e43b3e373b222b44ae534b28c1044d380100af4f010000000000ffffffffee7e5748a850600d,90178a4e734a4f78b9403234853a5239d96918c13ff4e0033c002104974d100703020000ffffffff
28,13158,59380,0.220270149,1.554388339,-0.116847270,-3.539169325,1.694142547,-0.121901778,3.762039599,c441dd3b04350c21fd549b444b28c10400000000fd02000000000000ffffffffb8740354e137c026,9923bc50ea348777384051351a3a8837bcdd0582400c11043f08e100b226170907010000ffffffff
29,13159,59381,0.139950647,1.554833000,0.053256338,-4.851054522,1.747266409,0.829706411,5.054704535,1f41ee3b6f38371f9d00eb484a2ce1044d300100fc01010100000000ffffffffb7754953a4397023,1219ab580948f773ab406b346f3a293972425ac13ff4100442f8c0039f3f120903030000ffffffff
30,13160,59382,0.145792066,1.554859156,0.045868982,-3.378043536,1.752550023,0.320950817,3.540080372,2b41ef3b4938db1ecbb48a464a2ce1044d300100fa04010100000000ffffffff05706a4c8f309029,e4247559d03d7f7b53400136d0391c388cc9a5814004310412fc2004d4120b0804020000ffffffff
31,13161,59383,0.112203910,1.554911469,0.088054677,-3.324010416,1.709522572,0.265351238,3.444257186,e640f13b22394b1cf2ec3a454a38d1044c2c0100de1a060000000000ffffffff7b77f652f43c6821,53250853b23c2f744f401336c83910387ac55483400c11041208f103bf21130802020000ffffffff
32,13162,59384,0.157474902,1.554963782,0.032260693,-5.061832367,1.688571211,-0.552118105,5.253619504,4341f33b0338031ff218da444a2ce1044d300100e518000000000000ffffffff4e6f3f4bc02f7834,6117e74f452cb7696a407730503b78389bccf6cf42f8f0033d0c0104f505050100000000ffffffff
33,13163,59385,0.108796416,1.554859156,0.092137163,0.206153388,1.273258221,-2.257042275,2.367999472,df40ef3b3739521cf6bcd9444a38d1044c2c0100c036080000000000ffffffff69606b5c9f508816,a741e111030a475a47412038c52d753a2e1c3114081850000c000000d913120100000000fffff7ff
