submesh,gpu_id,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,3965,11.285570102,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,5081,11.282680605,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,5257,11.276278174,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3841,11.272596905,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3748,11.268890317,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,5080,11.266209334,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3969,11.258359161,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3746,11.253177730,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3749,11.252900126,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,6653,11.252900126,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,4945,11.250437433,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,5256,11.250437433,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,2688,11.246209614,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3123,11.243620815,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,2690,11.239633554,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3842,11.239633554,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,5079,11.236587617,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3847,11.226543113,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3724,11.221867760,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
Wing,GpuId7157,3744,11.221867760,0.000000000,-5.282161912,-30.292061086,30.022428225,5.897865247,-1.604804742,-2.706337907
