submesh,gpu_id,candidate,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,glb_primitive_seg_z16,206,2.605728061,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.344406824,0.745931049,-1.798585878
Wing,GpuId7157,glb_primitive_seg_z16,2304,2.590611120,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.386947951,0.716347956,-1.801591610
Wing,GpuId7157,glb_primitive_seg_z16,1137,2.590237858,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342304329,0.747361499,-1.798142237
Wing,GpuId7157,glb_primitive_seg_z16,417,2.589619681,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.345110396,0.745452973,-1.798729046
Wing,GpuId7157,glb_primitive_seg_z16,194,2.588258528,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.369140847,0.728129216,-1.801060898
Wing,GpuId7157,glb_primitive_seg_z16,2303,2.588110901,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.714243840,0.691875837,-0.694323212
Wing,GpuId7157,glb_primitive_seg_z16,422,2.577288758,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.368412879,0.728614570,-1.801005097
Wing,GpuId7157,glb_primitive_seg_z16,1107,2.575941585,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343704157,0.746408812,-1.798440250
Wing,GpuId7157,glb_primitive_seg_z16,604,2.573421306,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.351853966,0.739739524,-1.799002275
Wing,GpuId7157,glb_primitive_seg_z16,2307,2.567081731,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342301572,0.747363377,-1.798141640
Wing,GpuId7157,glb_primitive_seg_z16,1124,2.552565231,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342301572,0.747363377,-1.798141640
Wing,GpuId7157,glb_primitive_seg_z16,367,2.551061443,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.576719893,1.217083566,-0.389666514
Wing,GpuId7157,glb_primitive_seg_z16,420,2.547849766,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342301572,0.747363377,-1.798141640
Wing,GpuId7157,glb_primitive_seg_z16,1106,2.544651600,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.369612876,0.726631593,-1.800078348
Wing,GpuId7157,glb_primitive_seg_z16,250,2.536581239,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.443214894,0.676552279,-1.789229332
Wing,GpuId7157,glb_primitive_seg_z16,191,2.536029606,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.346539672,0.744482714,-1.799011750
Wing,GpuId7157,glb_primitive_seg_z16,193,2.529432175,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343007926,0.746882499,-1.798293344
Wing,GpuId7157,glb_primitive_seg_z16,1104,2.524558464,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342301572,0.747363377,-1.798141640
Wing,GpuId7157,glb_primitive_seg_z16,558,2.523029665,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.345110396,0.745452973,-1.798729046
Wing,GpuId7157,glb_primitive_seg_z16,369,2.522090218,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.342301572,0.747363377,-1.798141640
Wing,GpuId7157,glb_primitive_seg_z16,166,2.513942957,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343007926,0.746882499,-1.798293344
Wing,GpuId7157,glb_primitive_seg_z16,368,2.508430128,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.358656179,0.733992479,-1.799011064
Wing,GpuId7157,glb_primitive_seg_z16,179,2.507647440,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.630735747,0.752465689,-0.633215458
Wing,GpuId7157,glb_primitive_seg_z16,188,2.497529357,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.372058513,0.726187048,-1.801257617
Wing,GpuId7157,glb_primitive_seg_z16,195,2.488762944,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343002404,0.746886257,-1.798292169
Wing,GpuId7157,glb_primitive_seg_z16,780,2.488762944,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343002404,0.746886257,-1.798292169
Wing,GpuId7157,glb_primitive_seg_z16,203,2.487284518,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.391548314,0.712135464,-1.800414406
Wing,GpuId7157,glb_primitive_seg_z16,419,2.486181356,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343002404,0.746886257,-1.798292169
Wing,GpuId7157,glb_primitive_seg_z16,1105,2.485796862,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.699276357,0.702310574,-0.674991229
Wing,GpuId7157,glb_primitive_seg_z16,192,2.482890528,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343704157,0.746408812,-1.798440250
Wing,GpuId7157,glb_primitive_seg_z16,202,2.482890528,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.343704157,0.746408812,-1.798440250
Wing,GpuId7157,glb_primitive_seg_z16,2305,2.463669774,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.442001196,0.676052042,-1.788364582
Wing,GpuId7157,glb_primitive_seg_z16,163,2.461629545,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.350432760,0.740702011,-1.798764031
Wing,GpuId7157,glb_primitive_seg_z16,201,2.461629545,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.350432760,0.740702011,-1.798764031
Wing,GpuId7157,glb_primitive_seg_z16,2306,2.450781825,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.397223529,0.697578918,-1.790187196
Wing,GpuId7157,glb_primitive_seg_z16,5287,2.441297401,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.492714428,1.275116888,-0.400678481
Wing,GpuId7157,glb_primitive_seg_z16,2717,2.430651631,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.477169590,1.287780812,-0.400994891
Wing,GpuId7157,glb_primitive_seg_z16,205,2.427012899,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.370841049,0.725830404,-1.800176568
Wing,GpuId7157,glb_primitive_seg_z16,397,2.427012899,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.370841049,0.725830404,-1.800176568
Wing,GpuId7157,glb_primitive_seg_z16,4631,2.421114063,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.592212250,0.778805223,-0.609211187
Wing,GpuId7157,glb_primitive_seg_z16,4562,2.420082868,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.491563103,1.277313016,-0.397858086
Wing,GpuId7157,glb_primitive_seg_z16,1136,2.411642615,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.629192225,0.753387163,-0.630682607
Wing,GpuId7157,glb_primitive_seg_z16,418,2.386010191,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.640740845,0.745124213,-0.635364332
Wing,GpuId7157,glb_primitive_seg_z16,249,2.375998263,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.401015620,0.704730414,-1.798708145
Wing,GpuId7157,glb_primitive_seg_z16,421,2.375998263,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.401015620,0.704730414,-1.798708145
Wing,GpuId7157,glb_primitive_seg_z16,204,2.355784243,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.468244135,0.657231513,-1.775812273
Wing,GpuId7157,glb_primitive_seg_z16,573,2.355784243,0.000000000,-8.802115116,-17.873900000,28.445198107,-3.468244135,0.657231513,-1.775812273
Wing,GpuId7157,glb_primitive_seg_z16,2733,2.348661353,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.570750224,0.793615048,-0.598688896
Wing,GpuId7157,glb_primitive_seg_z16,506,2.338468285,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.444510186,1.321109533,-0.393165049
