submesh,gpu_id,vertex_id,error_exact,error_translation_only,error_affine,late_x,late_y,late_z,pix_x,pix_y,pix_z
Wing,GpuId7157,5600,0.527370804,0.663037190,0.584112810,9.645240784,-6.477569580,0.741142273,-1.630730000,-25.307000000,20.130900000
Wing,GpuId7157,5592,0.497413302,0.633431681,0.554256092,9.658313751,-6.622439384,0.576379776,-1.752860000,-25.595800000,20.051600000
Wing,GpuId7157,3299,0.494218213,0.629241417,0.550006185,9.603676796,-6.535041809,0.749121666,-1.639560000,-25.436200000,20.175100000
Wing,GpuId7157,5085,0.494218213,0.629241417,0.550006185,9.603676796,-6.535041809,0.749121666,-1.639560000,-25.436200000,20.175100000
Wing,GpuId7157,5610,0.460851614,0.600129758,0.542741916,7.325400352,-2.892700911,2.244416237,-1.677880000,-18.830600000,22.682400000
Wing,GpuId7157,3225,0.460843802,0.599950510,0.542431873,7.313771725,-2.898338795,2.275713205,-1.658360000,-18.838000000,22.707600000
Wing,GpuId7157,5095,0.460843802,0.599950510,0.542431873,7.313771725,-2.898338795,2.275713205,-1.658360000,-18.838000000,22.707600000
Wing,GpuId7157,5615,0.461248999,0.599690196,0.542013050,7.309513092,-2.999583006,2.167216063,-1.744220000,-19.023200000,22.646200000
Wing,GpuId7157,3228,0.459682382,0.598014108,0.540236151,7.305518627,-2.990177870,2.210141420,-1.712240000,-19.005600000,22.672700000
Wing,GpuId7157,5094,0.459682382,0.598014108,0.540236151,7.305518627,-2.990177870,2.210141420,-1.712240000,-19.005600000,22.672700000
Wing,GpuId7157,5626,0.455598459,0.596480438,0.540232428,7.226679802,-2.706918955,2.312164068,-1.677480000,-18.492300000,22.813600000
Wing,GpuId7157,5572,0.482454611,0.617676188,0.537981793,9.782148361,-6.273478508,1.140301704,-1.229030000,-24.984300000,20.244500000
Wing,GpuId7157,5670,0.452411490,0.592450921,0.535932448,7.188849449,-2.796730757,2.257211924,-1.738230000,-18.655300000,22.805500000
Wing,GpuId7157,5753,0.451136379,0.590059190,0.533487741,7.141871452,-2.938359737,2.091151953,-1.892350000,-18.914000000,22.742400000
Wing,GpuId7157,3958,0.477320276,0.612620219,0.532984180,9.613571167,-6.687359810,0.611551762,-1.743460000,-25.723900000,20.108800000
Wing,GpuId7157,4961,0.477320276,0.612620219,0.532984180,9.613571167,-6.687359810,0.611551762,-1.743460000,-25.723900000,20.108800000
Wing,GpuId7157,3944,0.448493261,0.589064125,0.532616047,7.196382046,-2.716274261,2.359826088,-1.654470000,-18.510800000,22.862600000
Wing,GpuId7157,4920,0.448493261,0.589064125,0.532616047,7.196382046,-2.716274261,2.359826088,-1.654470000,-18.510800000,22.862600000
Wing,GpuId7157,5625,0.449955960,0.589013626,0.532016813,7.184551239,-2.885614872,2.244986057,-1.747800000,-18.816700000,22.795000000
Wing,GpuId7157,5614,0.450618940,0.588799639,0.530664295,7.398598671,-3.061843634,2.127920389,-1.726310000,-19.153400000,22.556100000
Wing,GpuId7157,4911,0.446260979,0.585734331,0.528995117,7.154503822,-2.822946548,2.292552710,-1.726340000,-18.703700000,22.848900000
Wing,GpuId7157,5134,0.446260979,0.585734331,0.528995117,7.154503822,-2.822946548,2.292552710,-1.726340000,-18.703700000,22.848900000
Wing,GpuId7157,5756,0.446420648,0.583629155,0.525384604,7.323874474,-3.162673473,2.059133530,-1.813800000,-19.334400000,22.572900000
Wing,GpuId7157,3940,0.443518078,0.582329114,0.525362521,7.157078743,-2.876269102,2.272083521,-1.741110000,-18.803300000,22.831300000
Wing,GpuId7157,4914,0.443518078,0.582329114,0.525362521,7.157078743,-2.876269102,2.272083521,-1.741110000,-18.803300000,22.831300000
Wing,GpuId7157,4877,0.443755603,0.581365918,0.523040299,7.362358093,-3.077578783,2.180601358,-1.701600000,-19.182800000,22.612200000
Wing,GpuId7157,5131,0.443755603,0.581365918,0.523040299,7.362358093,-3.077578783,2.180601358,-1.701600000,-19.182800000,22.612200000
Wing,GpuId7157,197,0.423653698,0.556341018,0.522219398,-9.109265327,-5.891218662,1.792844057,-11.402800000,-22.471300000,36.218600000
