submesh,gpu_id,vertex_id,error_exact,error_diag_block0,late_factor_6bit,active_influences,local_x,local_y,local_z,pred_exact_x,pred_exact_y,pred_exact_z,pix_x,pix_y,pix_z
Head,GpuId7158,4269,0.530936733,0.419152401,63,6,-0.012075869,1.257167249,-3.048532110,-11.054389718,-10.242018646,27.623323313,-11.055000000,-10.772500000,27.645300000
Head,GpuId7158,4261,0.530716890,0.418931657,63,6,-0.010497460,1.264725379,-3.054867935,-11.069265306,-10.231058961,27.616246472,-11.070100000,-10.761300000,27.638700000
Head,GpuId7158,4407,0.530490305,0.418711514,63,6,-0.000005679,1.261007267,-3.057757960,-11.075851430,-10.263658639,27.610892695,-11.076600000,-10.793700000,27.632700000
Head,GpuId7158,5024,0.530490305,0.418711514,63,6,-0.000005679,1.261007267,-3.057757960,-11.075851430,-10.263658639,27.610892695,-11.076600000,-10.793700000,27.632700000
Head,GpuId7158,4271,0.530421717,0.418645827,63,6,-0.000005679,1.253692947,-3.050644051,-11.060404016,-10.277707253,27.615380278,-11.061000000,-10.807700000,27.636700000
Head,GpuId7158,4959,0.530421717,0.418645827,63,6,-0.000005679,1.253692947,-3.050644051,-11.060404016,-10.277707253,27.615380278,-11.061000000,-10.807700000,27.636700000
Head,GpuId7158,4266,0.530190495,0.418406755,63,6,-0.018714474,1.265639669,-3.040640118,-11.043509781,-10.207993321,27.615176672,-11.044500000,-10.737700000,27.637800000
Head,GpuId7158,4363,0.530136115,0.418359003,63,6,-0.010079646,1.255460574,-3.039083950,-11.038780721,-10.248905667,27.617073697,-11.039500000,-10.778600000,27.638700000
Head,GpuId7158,4364,0.530136115,0.418359003,63,6,-0.010079646,1.255460574,-3.039083950,-11.038780721,-10.248905667,27.617073697,-11.039500000,-10.778600000,27.638700000
Head,GpuId7158,4263,0.530107816,0.418329497,63,6,-0.000005679,1.264908237,-3.056312947,-11.075527622,-10.255449310,27.605107230,-11.076400000,-10.785100000,27.627100000
Head,GpuId7158,4950,0.530107816,0.418329497,63,6,-0.000005679,1.264908237,-3.056312947,-11.075527622,-10.255449310,27.605107230,-11.076400000,-10.785100000,27.627100000
