submesh,gpu_id,vertex_id,error,blend,blend_source,d0,d1,packed_factor,local_x,local_y,local_z,pred_x,pred_y,pred_z,pix_x,pix_y,pix_z
Wing,GpuId7157,5257,1.868558451,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.975239754,1.555199191,1.486403542,-1.042734842,-29.055545902,18.299904273,-1.212470000,-30.448900000,19.533300000
Wing,GpuId7157,3965,1.864173418,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.955281574,1.617347047,1.453743650,-1.159795043,-28.932382510,18.257295193,-1.326570000,-30.329900000,19.479700000
Wing,GpuId7157,5080,1.863547592,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.963556917,1.607355262,1.444217847,-1.165635260,-28.980354615,18.272549781,-1.333490000,-30.374500000,19.497700000
Wing,GpuId7157,5081,1.861749337,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.940678029,1.607904549,1.466574322,-1.128685685,-28.891132273,18.274089405,-1.295340000,-30.287000000,19.494700000
Wing,GpuId7157,3123,1.860931411,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.961609778,1.595192487,1.439357744,-1.161378844,-28.996679484,18.296906567,-1.330110000,-30.386300000,19.523100000
Wing,GpuId7157,5079,1.859208793,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.955281574,1.589516526,1.442273806,-1.150694002,-28.983452344,18.308931921,-1.319570000,-30.371300000,19.534500000
Wing,GpuId7157,2690,1.858546872,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.949440156,1.589516526,1.447328313,-1.142205780,-28.961450418,18.310126355,-1.310800000,-30.349500000,19.534500000
Wing,GpuId7157,3842,1.858546872,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.949440156,1.589516526,1.447328313,-1.142205780,-28.961450418,18.310126355,-1.310800000,-30.349500000,19.534500000
Wing,GpuId7157,3969,1.858455817,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.935810180,1.594146227,1.463269452,-1.120186772,-28.899659000,18.302289410,-1.287710000,-30.290500000,19.523500000
Wing,GpuId7157,2688,1.858190893,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.942138383,1.590745881,1.454521266,-1.131384728,-28.931370192,18.309004032,-1.299530000,-30.320300000,19.531900000
Wing,GpuId7157,3746,1.857026500,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.947979802,1.666495121,1.394839200,-1.307532577,-28.889432363,18.245242864,-1.473280000,-30.283700000,19.460600000
Wing,GpuId7157,3748,1.853389516,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.921693419,1.695711937,1.394255987,-1.337761681,-28.767736555,18.228536969,-1.501310000,-30.164800000,19.435400000
Wing,GpuId7157,3841,1.851421919,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.899788100,1.663670218,1.433720025,-1.239335033,-28.714547027,18.261841243,-1.403070000,-30.109500000,19.468100000
Wing,GpuId7157,3960,1.851357770,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.944085523,1.635865853,1.386868631,-1.289721881,-28.929848149,18.301703210,-1.457550000,-30.313900000,19.519800000
Wing,GpuId7157,3749,1.849424647,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.908550228,1.688021924,1.395811220,-1.327213991,-28.738156606,18.251531292,-1.490960000,-30.131400000,19.456700000
Wing,GpuId7157,6653,1.849424647,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.908550228,1.688021924,1.395811220,-1.327213991,-28.738156606,18.251531292,-1.490960000,-30.131400000,19.456700000
Wing,GpuId7157,3962,1.849320299,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.928021622,1.670392440,1.377926041,-1.339375206,-28.838400598,18.274601608,-1.505150000,-30.226200000,19.485600000
Wing,GpuId7157,6650,1.849320299,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.928021622,1.670392440,1.377926041,-1.339375206,-28.838400598,18.274601608,-1.505150000,-30.226200000,19.485600000
Wing,GpuId7157,4945,1.847244736,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.893459897,1.671046352,1.415251633,-1.277465683,-28.700770532,18.273960474,-1.441300000,-30.092000000,19.478100000
Wing,GpuId7157,5256,1.847244736,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.893459897,1.671046352,1.415251633,-1.277465683,-28.700770532,18.273960474,-1.441300000,-30.092000000,19.478100000
Wing,GpuId7157,3966,1.846926100,0.000244141,packed,0.000000000,0.000000000,0.999755859,7.932402686,1.614286736,1.392117542,-1.258975345,-28.921915943,18.340466275,-1.427730000,-30.299800000,19.558700000
