submesh,gpu_id,vertex_id,stage1_direct_error,stage1_affine_error,u76_affine_error,local_x,local_y,local_z,stage1_world_x,stage1_world_y,stage1_world_z,stage1_affine_x,stage1_affine_y,stage1_affine_z,u76_affine_x,u76_affine_y,u76_affine_z,pix_world_x,pix_world_y,pix_world_z,codes,weights
Wing,GpuId7157,920,38.795068603,1.115463891,3.073952918,-5.430328506,1.667776789,3.574498241,-11.384022627,-4.400704804,3.889083424,-10.351692532,-20.242302645,38.598373652,-10.558800387,-18.340936492,38.127285756,-10.054200000,-21.301200000,38.784100000,60 61 63 62 0 0,215 32 5 4 0 0
Wing,GpuId7157,961,38.810077962,1.114865827,3.095822301,-5.444932051,1.616300787,3.614739895,-11.413659499,-4.494355485,3.979283934,-10.293342050,-20.400253080,38.679244649,-10.540963091,-18.474767001,38.240369346,-9.988970000,-21.458000000,38.856600000,60 61 63 62 0 0,216 32 5 3 0 0
Wing,GpuId7157,133,38.819426528,1.113255784,3.085810001,-5.450286685,1.660086777,3.574303837,-11.392923158,-4.441079359,3.878408444,-10.364030725,-20.315820418,38.602660397,-10.583651781,-18.399868732,38.139926351,-10.065200000,-21.372500000,38.785600000,60 61 63 62 0 0,215 32 5 4 0 0
Wing,GpuId7157,2509,38.773756562,1.112288251,3.038410493,-5.420106024,1.650278087,3.574498241,-11.364858577,-4.413143741,3.912052938,-10.322991981,-20.264485555,38.597679573,-10.535694557,-18.394011696,38.141362611,-10.023500000,-21.320100000,38.779800000,60 61 63 62 0 0,215 32 5 3 0 0
Wing,GpuId7157,764,38.767515436,1.110761138,3.020863819,-5.415724960,1.716532515,3.518121045,-11.327464549,-4.310944111,3.781050887,-10.409985724,-20.095931090,38.487429073,-10.575272340,-18.244876542,37.990955194,-10.119700000,-21.150800000,38.679200000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,666,38.813271128,1.109457010,3.057845097,-5.450286685,1.643608178,3.571776583,-11.379450364,-4.467853088,3.886922058,-10.349554558,-20.364934456,38.599466348,-10.578189430,-18.471761767,38.152665293,-10.048500000,-21.417700000,38.778200000,60 61 63 62 0 0,215 32 5 3 0 0
Wing,GpuId7157,134,38.772328996,1.108518872,3.028319121,-5.426921012,1.637435243,3.573331816,-11.356167872,-4.440099390,3.918910102,-10.312355535,-20.313618055,38.597213221,-10.534444797,-18.448646048,38.151966667,-10.011700000,-21.365500000,38.776000000,60 61 63 62 0 0,215 32 5 3 0 0
Wing,GpuId7157,2655,38.772328996,1.108518872,3.028319121,-5.426921012,1.637435243,3.573331816,-11.356167872,-4.440099390,3.918910102,-10.312355535,-20.313618055,38.597213221,-10.534444797,-18.448646048,38.151966667,-10.011700000,-21.365500000,38.776000000,60 61 63 62 0 0,215 32 5 3 0 0
Wing,GpuId7157,667,38.790925715,1.108497136,3.040765835,-5.438603848,1.638219938,3.572748604,-11.365841454,-4.456937119,3.905856061,-10.327507878,-20.344552744,38.598737534,-10.554099139,-18.467183639,38.154434728,-10.026500000,-21.396400000,38.777000000,60 61 63 62 0 0,215 32 5 3 0 0
Wing,GpuId7157,918,38.812261145,1.108145584,3.052326546,-5.451260255,1.696967449,3.527646847,-11.352551251,-4.390226499,3.781745910,-10.420949801,-20.237332549,38.513705508,-10.613268514,-18.350720686,38.033739844,-10.127500000,-21.289500000,38.700300000,60 61 63 62 0 0,214 32 5 5 0 0
